Year,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
2022-2023,Boston Celtics,E,A,57,25,0.695,6.52,118.98,112.28,6.70,6.38,119.04,112.48,6.56
2022-2023,Cleveland Cavaliers,E,C,51,31,0.622,5.38,117.31,111.69,5.62,5.23,117.31,111.84,5.47
2022-2023,Philadelphia 76ers,E,A,54,28,0.659,4.32,118.87,114.51,4.35,4.37,118.98,114.56,4.42
2022-2023,Memphis Grizzlies,W,SW,51,31,0.622,3.94,116.01,112.07,3.93,3.60,115.68,112.09,3.59
2022-2023,Milwaukee Bucks,E,C,58,24,0.707,3.63,116.13,112.64,3.49,3.61,116.12,112.64,3.48
2022-2023,New York Knicks,E,A,47,35,0.573,2.93,118.86,115.83,3.03,2.99,118.98,115.88,3.10
2022-2023,Denver Nuggets,W,NW,53,29,0.646,3.33,118.38,115.05,3.34,3.04,118.22,115.18,3.04
2022-2023,Sacramento Kings,W,P,48,34,0.585,2.65,119.97,117.48,2.49,2.30,119.86,117.72,2.14
2022-2023,Phoenix Suns,W,P,45,37,0.549,2.07,116.05,113.94,2.12,2.08,115.97,113.86,2.11
2022-2023,Toronto Raptors,E,A,41,41,0.500,1.48,116.37,114.86,1.51,1.59,116.55,114.91,1.63
2022-2023,New Orleans Pelicans,W,SW,42,40,0.512,1.89,115.26,113.38,1.88,1.63,115.00,113.38,1.61
2022-2023,Golden State Warriors,W,P,44,38,0.537,1.80,117.10,115.34,1.75,1.66,117.00,115.41,1.60
2022-2023,Chicago Bulls,E,C,40,42,0.488,1.29,114.52,113.16,1.36,1.37,114.55,113.10,1.44
2022-2023,Brooklyn Nets,E,A,45,37,0.549,0.85,116.07,115.07,1.00,1.03,116.19,115.01,1.18
2022-2023,Oklahoma City Thunder,W,NW,40,42,0.488,1.09,115.92,114.90,1.03,0.96,115.80,114.91,0.89
2022-2023,Los Angeles Lakers,W,P,43,39,0.524,0.57,115.31,114.76,0.55,0.43,115.07,114.67,0.40
2022-2023,Atlanta Hawks,E,SE,41,41,0.500,0.29,117.45,117.16,0.29,0.32,117.66,117.34,0.32
2022-2023,Los Angeles Clippers,W,P,44,38,0.537,0.50,115.91,115.40,0.51,0.31,115.67,115.37,0.31
2022-2023,Dallas Mavericks,W,SW,38,44,0.463,0.07,117.63,117.56,0.06,-0.14,117.54,117.70,-0.16
2022-2023,Minnesota Timberwolves,W,NW,42,40,0.512,-0.04,114.52,114.50,0.02,-0.22,114.26,114.43,-0.18
2022-2023,Miami Heat,E,SE,44,38,0.537,-0.32,113.99,114.40,-0.41,-0.13,114.10,114.32,-0.22
2022-2023,Utah Jazz,W,NW,37,45,0.451,-0.94,116.41,117.44,-1.02,-1.03,116.32,117.43,-1.11
2022-2023,Washington Wizards,E,SE,35,47,0.427,-1.21,115.21,116.49,-1.28,-1.06,115.39,116.50,-1.12
2022-2023,Orlando Magic,E,SE,34,48,0.415,-2.56,112.42,114.99,-2.57,-2.39,112.49,114.88,-2.39
2022-2023,Indiana Pacers,E,C,35,47,0.427,-3.18,115.65,118.81,-3.16,-2.91,115.96,118.83,-2.87
2022-2023,Portland Trail Blazers,W,NW,33,49,0.402,-4.01,115.72,119.83,-4.11,-3.96,115.72,119.79,-4.07
2022-2023,Charlotte Hornets,E,SE,27,55,0.329,-6.24,109.86,116.14,-6.28,-5.89,110.04,115.96,-5.92
2022-2023,Houston Rockets,W,SW,22,60,0.268,-7.85,112.14,120.16,-8.02,-7.62,112.21,119.99,-7.78
2022-2023,Detroit Pistons,E,C,17,65,0.207,-8.22,111.35,119.68,-8.33,-7.73,111.69,119.52,-7.83
2022-2023,San Antonio Spurs,W,SW,22,60,0.268,-10.04,111.11,120.96,-9.85,-9.82,111.14,120.79,-9.65
