Year,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
2012-2013,Oklahoma City Thunder,W,NW,60,22,0.732,9.21,113.30,103.35,9.95,9.15,113.21,103.33,9.89
2012-2013,Miami Heat,E,SE,66,16,0.805,7.87,113.43,104.77,8.67,7.03,113.28,105.53,7.75
2012-2013,San Antonio Spurs,W,SW,58,24,0.707,6.40,109.11,102.26,6.85,6.67,109.05,101.90,7.14
2012-2013,Los Angeles Clippers,W,P,56,26,0.683,6.45,111.62,104.47,7.16,6.43,111.58,104.44,7.13
2012-2013,Denver Nuggets,W,NW,57,25,0.695,5.09,111.23,105.97,5.26,5.37,111.34,105.76,5.58
2012-2013,Memphis Grizzlies,W,SW,56,26,0.683,4.15,105.95,101.22,4.74,4.33,105.72,100.79,4.93
2012-2013,New York Knicks,E,A,54,28,0.659,4.23,111.83,106.92,4.91,3.73,111.88,107.53,4.35
2012-2013,Houston Rockets,W,SW,45,37,0.549,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99
2012-2013,Indiana Pacers,E,C,49,32,0.605,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59
2012-2013,Los Angeles Lakers,W,P,45,37,0.549,1.16,108.49,107.23,1.27,1.48,108.48,106.86,1.62
2012-2013,Golden State Warriors,W,P,47,35,0.573,0.89,107.10,106.04,1.06,1.32,107.13,105.61,1.52
2012-2013,Brooklyn Nets,E,A,49,33,0.598,1.78,109.10,107.14,1.96,1.25,109.10,107.71,1.39
2012-2013,Utah Jazz,W,NW,43,39,0.524,-0.09,107.42,107.50,-0.08,0.30,107.49,107.15,0.34
2012-2013,Chicago Bulls,E,C,45,37,0.549,0.32,104.23,103.87,0.36,-0.01,104.09,104.10,0.00
2012-2013,Dallas Mavericks,W,SW,41,41,0.500,-0.60,106.66,107.14,-0.48,-0.24,106.74,106.82,-0.09
2012-2013,Atlanta Hawks,E,SE,44,38,0.537,0.40,105.50,105.14,0.37,-0.07,105.39,105.54,-0.15
2012-2013,Boston Celtics,E,A,41,40,0.506,-0.22,104.07,104.40,-0.32,-0.62,103.77,104.51,-0.75
2012-2013,Toronto Raptors,E,A,34,48,0.415,-1.48,106.58,107.98,-1.40,-1.95,106.51,108.45,-1.93
2012-2013,Minnesota Timberwolves,W,NW,31,51,0.378,-2.37,103.61,106.23,-2.63,-1.83,103.66,105.70,-2.04
2012-2013,Milwaukee Bucks,E,C,38,44,0.463,-1.50,104.28,106.02,-1.74,-1.82,104.20,106.29,-2.09
2012-2013,Portland Trail Blazers,W,NW,33,49,0.402,-3.17,106.21,109.77,-3.56,-2.52,106.45,109.30,-2.85
2012-2013,Washington Wizards,E,SE,29,53,0.354,-2.54,100.78,103.61,-2.82,-2.78,100.56,103.64,-3.09
2012-2013,New Orleans Hornets,W,SW,27,55,0.329,-3.87,106.63,110.97,-4.34,-3.11,107.03,110.54,-3.51
2012-2013,Philadelphia 76ers,E,A,34,48,0.415,-3.34,102.69,106.37,-3.68,-3.51,102.59,106.45,-3.86
2012-2013,Sacramento Kings,W,P,28,54,0.341,-4.88,106.85,112.16,-5.30,-4.25,107.21,111.83,-4.62
2012-2013,Detroit Pistons,E,C,29,53,0.354,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82
2012-2013,Cleveland Cavaliers,E,C,24,58,0.293,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28
2012-2013,Phoenix Suns,W,P,25,57,0.305,-6.46,102.00,108.82,-6.82,-5.75,102.20,108.24,-6.04
2012-2013,Orlando Magic,E,SE,20,62,0.244,-6.99,102.09,109.79,-7.70,-7.12,102.05,109.89,-7.84
2012-2013,Charlotte Bobcats,E,SE,21,61,0.256,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23
