Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Tracy McGrady,31,DET,SG,72,39,1686,14.9,0.503,0.171,0.251,3.4,15.4,9.1,23.6,2.1,1.6,15.2,18.6,1.0,1.1,2.1,0.061,0.1,0.5,0.6,1.1,,mcgratr01,2010-2011
Gary Neal,26,SAS,SG,80,1,1685,13.1,0.578,0.487,0.165,1.5,11.8,6.8,9.1,0.8,0.2,10.3,20.6,2.1,1.4,3.5,0.099,0.5,-0.8,-0.3,0.7,ROY-5,nealga01,2010-2011
Mike Dunleavy,30,IND,SG,61,44,1683,14.6,0.593,0.488,0.240,1.9,16.2,9.1,10.1,1.2,1.3,10.7,16.9,2.6,1.9,4.5,0.129,1.1,0.4,1.6,1.5,,dunlemi02,2010-2011
Willie Green,29,NOH,SG,77,13,1674,10.8,0.515,0.255,0.164,1.6,10.2,5.9,7.6,1.2,0.6,9.3,20.5,0.3,1.5,1.8,0.052,-2.1,-0.7,-2.8,-0.3,,greenwi01,2010-2011
J.J. Barea,26,DAL,PG,81,2,1669,14.8,0.535,0.291,0.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,1.9,1.4,3.2,0.093,0.5,-1.0,-0.5,0.6,,bareajo01,2010-2011
Charlie Villanueva,26,DET,PF,76,11,1666,15.9,0.553,0.456,0.164,3.5,18.8,10.8,5.0,1.4,2.0,8.0,23.1,2.1,1.0,3.1,0.091,1.0,-1.4,-0.4,0.7,,villach01,2010-2011
Al Harrington,30,DEN,PF,73,3,1665,12.3,0.527,0.486,0.173,5.4,17.2,11.5,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.060,-0.6,-1.1,-1.7,0.1,,harrial01,2010-2011
Gerald Henderson,23,CHA,SG,68,30,1661,13.2,0.509,0.063,0.286,3.5,11.6,7.5,10.7,1.6,1.6,9.1,19.9,0.9,1.4,2.4,0.068,-1.6,-0.2,-1.8,0.1,,hendege02,2010-2011
Kyle Korver,29,CHI,SG,82,0,1649,13.0,0.572,0.519,0.156,0.9,9.5,5.3,12.1,1.1,0.9,9.2,18.3,2.7,2.4,5.1,0.149,0.4,0.7,1.1,1.3,,korveky01,2010-2011
Baron Davis,31,2TM,PG,58,44,1649,17.0,0.506,0.345,0.189,2.5,8.6,5.5,41.2,2.4,1.3,16.3,24.4,1.5,1.3,2.8,0.081,2.2,-0.3,1.9,1.6,,davisba01,2010-2011
Baron Davis,31,LAC,PG,43,35,1269,16.3,0.492,0.295,0.202,2.7,8.3,5.5,39.9,2.5,1.4,16.0,23.5,1.0,1.1,2.1,0.079,1.4,-0.1,1.3,1.0,,davisba01,2010-2011
Baron Davis,31,CLE,PG,15,9,380,19.3,0.548,0.489,0.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,0.5,0.2,0.7,0.086,4.8,-0.9,3.9,0.6,,davisba01,2010-2011
Sasha Vujačić,26,2TM,SG,67,17,1648,12.3,0.515,0.440,0.161,2.1,11.5,6.7,13.7,1.7,0.2,9.4,19.8,1.1,1.0,2.1,0.061,-1.0,-0.5,-1.5,0.2,,vujacsa01,2010-2011
Sasha Vujačić,26,LAL,SG,11,0,54,3.4,0.419,0.304,0.087,2.2,6.1,4.2,14.5,1.0,0.0,17.3,24.4,-0.1,0.0,-0.1,-0.082,-7.2,-3.3,-10.5,-0.1,,vujacsa01,2010-2011
Sasha Vujačić,26,NJN,SG,56,17,1594,12.6,0.518,0.446,0.164,2.1,11.7,6.7,13.6,1.8,0.2,9.0,19.6,1.2,1.0,2.2,0.066,-0.8,-0.4,-1.2,0.3,,vujacsa01,2010-2011
Dante Cunningham,23,2TM,PF,78,18,1637,10.7,0.483,0.028,0.131,6.9,13.9,10.3,4.3,1.8,2.2,9.3,15.7,0.3,1.7,2.0,0.060,-3.2,-0.1,-3.3,-0.5,,cunnida01,2010-2011
Dante Cunningham,23,POR,PF,56,9,1108,9.5,0.457,0.014,0.155,7.7,13.4,10.4,4.3,1.9,2.4,9.6,14.5,0.1,1.2,1.3,0.057,-3.9,0.4,-3.5,-0.4,,cunnida01,2010-2011
Dante Cunningham,23,CHA,PF,22,9,529,13.1,0.525,0.050,0.094,5.2,15.0,10.1,4.5,1.5,1.7,8.7,18.3,0.2,0.5,0.7,0.065,-1.8,-1.1,-2.8,-0.1,,cunnida01,2010-2011
Reggie Williams,24,GSW,SF,80,9,1626,14.9,0.585,0.421,0.234,3.1,12.2,7.5,11.4,0.9,0.1,8.3,18.7,3.4,0.3,3.7,0.109,1.6,-1.8,-0.2,0.7,,willire02,2010-2011
Darrell Arthur,22,MEM,PF,80,9,1609,15.7,0.534,0.010,0.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,0.113,-1.8,0.2,-1.6,0.2,,arthuda01,2010-2011
Ed Davis,21,TOR,PF,65,17,1602,15.8,0.583,0.000,0.343,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,2.9,1.1,4.0,0.119,-0.2,-0.8,-0.9,0.4,,davised01,2010-2011
Josh McRoberts,23,IND,PF,72,51,1597,16.0,0.608,0.155,0.308,7.6,18.8,13.3,15.0,1.5,2.6,17.5,14.7,2.6,2.2,4.9,0.147,0.6,1.7,2.3,1.7,,mcrobjo01,2010-2011
Carlos Delfino,28,MIL,SF,49,40,1590,13.1,0.517,0.554,0.146,1.7,13.2,7.3,12.1,2.6,0.4,9.5,17.7,0.9,2.6,3.5,0.105,-0.3,1.7,1.5,1.4,,delfica01,2010-2011
Steve Blake,30,LAL,PG,79,0,1581,7.5,0.500,0.631,0.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,0.3,1.5,1.8,0.055,-2.6,0.2,-2.3,-0.1,,blakest01,2010-2011
Mario Chalmers,24,MIA,PG,70,28,1579,10.3,0.538,0.595,0.160,1.0,9.5,5.5,16.8,2.5,0.3,18.0,15.0,0.7,2.3,2.9,0.089,-2.3,1.5,-0.8,0.5,,chalmma01,2010-2011
Sam Young,25,MEM,SF,78,46,1577,12.5,0.525,0.101,0.235,3.0,11.2,7.1,6.9,2.3,1.2,10.1,17.3,1.1,1.8,2.9,0.088,-1.6,0.7,-0.9,0.5,,youngsa01,2010-2011
Joakim Noah,25,CHI,C,48,48,1576,18.8,0.579,0.002,0.468,13.9,22.8,18.5,10.7,1.6,3.5,15.7,16.8,3.1,3.6,6.7,0.205,0.8,2.1,2.9,1.9,DPOY-15,noahjo01,2010-2011
Nenad Krstić,27,2TM,C,71,67,1571,13.1,0.557,0.000,0.323,9.9,15.4,12.7,2.8,0.9,1.2,9.8,16.9,2.3,1.7,4.0,0.122,-1.4,-1.0,-2.5,-0.2,,krstine01,2010-2011
Nenad Krstić,27,OKC,C,47,47,1018,12.5,0.534,0.000,0.216,9.2,14.4,11.9,3.0,0.9,1.2,9.0,16.4,1.2,0.8,2.0,0.096,-1.5,-1.4,-2.8,-0.2,,krstine01,2010-2011
