Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Allen Iverson,27,PHI,SG,82,82,3485,21.2,0.500,0.156,0.379,2.3,9.5,5.8,25.1,3.4,0.3,11.2,32.9,5.0,4.2,9.2,0.127,3.2,0.2,3.5,4.8,MVP-6DPOY-6ASNBA2,iversal01
Kobe Bryant,24,LAL,SG,82,82,3401,26.2,0.550,0.168,0.371,3.5,15.3,9.3,27.2,2.8,1.4,11.4,32.9,11.0,4.0,14.9,0.210,6.3,0.7,7.1,7.7,MVP-3DPOY-8ASNBA1,bryanko01
Shawn Marion,24,PHO,SF,81,81,3373,21.3,0.538,0.248,0.201,6.6,19.4,13.0,10.4,2.9,2.1,9.0,23.3,7.3,5.8,13.0,0.186,3.9,1.7,5.6,6.5,DPOY-13AS,mariosh01
Jalen Rose,30,CHI,SF,82,82,3351,14.9,0.508,0.227,0.295,2.3,9.2,5.8,21.1,1.1,0.5,13.7,27.4,2.5,1.1,3.6,0.052,0.9,-2.1,-1.2,0.7,,roseja01
Kevin Garnett,26,MIN,PF,82,82,3321,26.4,0.553,0.048,0.339,8.6,28.5,18.8,25.8,1.8,2.8,11.9,26.4,9.8,5.8,15.6,0.225,6.0,2.4,8.4,8.7,MVP-2DPOY-3ASNBA1,garneke01
Jamal Mashburn,30,NOH,SF,82,81,3321,18.0,0.507,0.193,0.233,2.3,15.3,8.7,26.2,1.3,0.4,11.6,27.1,5.4,3.6,9.0,0.130,2.6,-0.4,2.2,3.5,MVP-11ASNBA3,mashbja01
Steve Francis,25,HOU,PG,81,81,3318,20.6,0.541,0.183,0.454,5.7,11.5,8.7,28.0,2.3,0.9,16.0,26.1,7.4,3.7,11.1,0.160,3.4,0.3,3.8,4.8,AS,francst01
Stephon Marbury,25,PHO,PG,81,81,3240,20.1,0.520,0.193,0.305,1.8,7.4,4.6,36.6,1.7,0.5,13.2,27.7,7.1,2.5,9.6,0.142,3.7,-0.7,2.9,4.0,ASNBA3,marbust01
Antoine Walker,26,BOS,PF,78,78,3235,14.6,0.467,0.375,0.184,3.4,16.7,9.9,23.3,1.9,0.8,13.4,27.9,-1.6,4.2,2.6,0.039,0.1,-0.6,-0.5,1.3,AS,walkean02
Antawn Jamison,26,GSW,SF,82,82,3226,19.0,0.542,0.142,0.323,6.5,12.5,9.5,8.6,1.2,0.9,9.5,24.5,8.2,0.3,8.5,0.126,2.8,-2.1,0.7,2.2,,jamisan01
Gary Payton,34,2TM,PG,80,80,3208,21.1,0.504,0.124,0.240,2.9,9.5,6.1,38.9,2.2,0.5,10.3,26.4,7.0,2.1,9.1,0.136,3.7,-0.6,3.1,4.1,DPOY-11AS,paytoga01
Gary Payton,34,SEA,PG,52,52,2123,21.4,0.495,0.115,0.236,3.1,10.8,6.9,41.6,2.4,0.4,10.7,27.1,4.3,1.9,6.2,0.140,4.0,0.1,4.1,3.2,,paytoga01
Gary Payton,34,MIL,PG,28,28,1085,20.5,0.523,0.143,0.249,2.5,6.8,4.6,33.8,2.0,0.5,9.6,25.0,2.8,0.1,2.9,0.128,3.3,-2.0,1.3,0.9,,paytoga01
Tim Duncan,26,SAS,PF,81,81,3181,26.9,0.564,0.016,0.455,9.9,27.3,19.0,19.5,0.9,5.2,12.9,28.0,9.5,6.9,16.5,0.248,5.0,2.5,7.6,7.7,MVP-1DPOY-4ASNBA1,duncati01
Ricky Davis,23,CLE,SG,79,76,3131,16.1,0.485,0.139,0.316,3.4,10.7,7.0,26.5,2.0,0.8,14.2,27.1,1.5,1.5,3.0,0.046,1.0,-1.4,-0.3,1.3,,davisri01
Dirk Nowitzki,24,DAL,PF,80,80,3117,25.6,0.581,0.262,0.368,2.9,25.1,14.0,13.3,1.8,2.0,8.1,27.4,10.8,5.3,16.1,0.249,5.8,1.4,7.2,7.3,MVP-7ASNBA2,nowitdi01
Allan Houston,31,NYK,SG,82,82,3108,17.7,0.563,0.307,0.270,1.0,7.9,4.4,13.2,0.9,0.2,9.8,27.0,6.6,0.6,7.2,0.111,2.9,-1.8,1.0,2.4,,houstal01
Eric Snow,29,PHI,PG,82,82,3108,15.6,0.546,0.040,0.474,2.6,8.8,5.7,27.6,2.2,0.3,16.7,16.8,5.7,2.7,8.4,0.130,0.4,0.3,0.7,2.1,DPOY-10,snower01
Paul Pierce,25,BOS,SG,79,79,3096,22.7,0.532,0.246,0.473,3.8,17.7,10.6,24.2,2.4,1.6,13.0,33.2,5.3,4.8,10.1,0.157,4.2,0.7,4.9,5.4,MVP-11ASNBA3,piercpa01
Shareef Abdur-Rahim,26,ATL,PF,81,81,3087,19.9,0.566,0.051,0.457,6.7,17.8,12.5,14.7,1.5,0.9,13.0,24.2,7.4,2.3,9.7,0.151,2.3,-0.7,1.6,2.8,,abdursh01
Jason Terry,25,ATL,PG,81,81,3081,18.2,0.549,0.378,0.256,1.4,8.6,5.2,34.8,2.2,0.3,16.4,22.6,6.0,1.4,7.4,0.116,3.0,-1.2,1.8,3.0,,terryja01
Rashard Lewis,23,SEA,SF,77,77,3044,16.7,0.537,0.189,0.300,5.8,13.8,9.7,7.9,1.8,0.9,9.9,22.2,5.0,2.8,7.8,0.122,1.2,-0.5,0.7,2.1,,lewisra02
Cuttino Mobley,27,HOU,SG,73,73,3044,14.7,0.537,0.298,0.264,2.7,8.6,5.7,12.2,1.7,0.8,12.2,20.6,4.5,2.5,6.9,0.109,0.5,-0.2,0.2,1.7,,moblecu01
Michael Jordan,39,WAS,SF,82,67,3031,19.3,0.491,0.036,0.212,2.8,16.7,9.7,21.1,2.2,1.0,9.4,28.7,2.9,3.4,6.2,0.099,1.8,0.0,1.7,2.8,AS,jordami01
Jason Kidd,29,NJN,PG,80,80,2989,22.2,0.526,0.297,0.324,4.2,15.1,9.6,42.2,3.1,0.6,17.2,25.9,5.5,5.8,11.3,0.182,4.8,1.8,6.6,6.5,MVP-9ASNBA2,kiddja01
Tracy McGrady,23,ORL,SG,75,74,2954,30.3,0.564,0.247,0.400,4.6,14.6,9.5,30.0,2.2,1.5,8.4,35.2,13.2,2.9,16.1,0.262,9.8,0.7,10.5,9.3,MVP-4ASNBA1,mcgratr01
Morris Peterson,25,TOR,SF,82,80,2949,12.6,0.488,0.321,0.230,3.6,10.7,7.0,11.1,1.6,0.8,9.8,20.3,2.1,1.1,3.2,0.052,-0.6,-1.2,-1.8,0.1,,petermo01
Pau Gasol,22,MEM,PF,82,82,2948,20.7,0.570,0.009,0.506,7.4,19.9,13.7,13.6,0.6,3.4,13.5,24.1,6.5,2.0,8.5,0.138,2.1,-0.3,1.8,2.8,,gasolpa01
Karl Malone,39,UTA,PF,81,81,2936,21.7,0.534,0.011,0.482,4.8,20.5,13.0,24.4,2.5,0.8,11.8,27.8,6.9,4.3,11.1,0.182,3.2,1.0,4.2,4.6,,malonka01
Andre Miller,26,LAC,PG,80,80,2913,15.2,0.495,0.116,0.421,3.3,9.0,6.1,31.3,1.8,0.3,15.8,20.3,3.6,1.0,4.6,0.076,0.2,-1.3,-1.1,0.6,,millean02
Ray Allen,27,2TM,SG,76,75,2880,21.3,0.565,0.391,0.253,3.8,11.8,7.8,21.6,1.9,0.4,11.6,27.8,7.6,1.5,9.1,0.152,4.7,-1.0,3.6,4.1,,allenra02
Ray Allen,27,MIL,SG,47,46,1683,19.9,0.564,0.387,0.243,3.1,12.1,7.6,17.5,1.8,0.5,11.6,27.8,3.8,0.5,4.3,0.123,3.4,-1.9,1.6,1.5,,allenra02
Ray Allen,27,SEA,SG,29,29,1197,23.3,0.567,0.396,0.268,4.7,11.4,8.0,27.3,2.1,0.2,11.5,27.7,3.8,1.0,4.8,0.193,6.4,0.2,6.6,2.6,,allenra02
Richard Jefferson,22,NJN,SF,80,80,2879,16.6,0.563,0.026,0.479,6.0,14.4,10.2,12.1,1.5,1.1,12.4,19.7,5.4,4.4,9.9,0.164,0.9,0.6,1.5,2.5,,jefferi01
Ben Wallace,28,DET,C,73,73,2873,17.2,0.486,0.014,0.432,11.9,34.9,23.2,6.9,2.0,5.9,14.5,10.2,2.7,7.9,10.6,0.176,0.4,3.5,3.9,4.3,MVP-8DPOY-1ASNBA2,wallabe01
Gilbert Arenas,21,GSW,PG,82,82,2866,18.6,0.540,0.265,0.397,3.6,10.6,7.2,30.0,2.2,0.4,17.3,24.9,5.8,0.7,6.5,0.109,2.6,-1.3,1.3,2.4,MIP-1,arenagi01
Jermaine O'Neal,24,IND,PF,77,76,2864,21.4,0.539,0.017,0.405,8.1,22.8,15.6,10.4,1.2,4.5,10.8,26.2,5.3,5.2,10.5,0.177,2.0,0.9,2.9,3.5,ASNBA3,onealje01
Latrell Sprewell,32,NYK,SF,74,73,2859,14.3,0.497,0.319,0.193,1.8,10.1,5.9,19.7,1.9,0.6,12.3,22.6,1.6,1.6,3.2,0.054,0.7,-0.6,0.1,1.5,,sprewla01
Caron Butler,22,MIA,SF,78,78,2858,15.1,0.502,0.104,0.363,5.3,10.9,8.0,14.1,2.6,0.9,13.8,22.9,1.6,3.6,5.1,0.086,-0.4,1.0,0.5,1.8,ROY-3,butleca01
Derek Fisher,28,LAL,PG,82,82,2829,11.9,0.520,0.274,0.161,1.6,8.0,4.8,16.1,1.7,0.4,10.2,14.5,3.8,1.4,5.2,0.088,-1.0,-0.3,-1.3,0.5,,fishede01
Clifford Robinson,36,DET,PF,81,69,2825,12.4,0.477,0.277,0.255,3.3,10.1,6.7,17.4,1.7,2.3,13.2,20.4,0.4,4.0,4.4,0.075,-0.9,0.9,0.0,1.4,,robincl02
Tony Parker,20,SAS,PG,82,82,2774,16.5,0.542,0.233,0.278,1.4,7.3,4.5,27.9,1.4,0.1,14.5,22.9,5.1,2.6,7.7,0.134,1.4,-1.0,0.5,1.7,,parketo01
Desmond Mason,25,2TM,SF,80,40,2763,15.2,0.502,0.071,0.278,6.5,15.9,11.1,10.2,1.3,0.9,9.2,21.3,3.3,1.9,5.2,0.090,-0.1,-1.3,-1.4,0.4,,masonde01
Desmond Mason,25,SEA,SF,52,15,1811,14.2,0.490,0.082,0.271,5.6,16.3,10.9,9.3,1.4,0.9,9.0,21.3,1.5,1.7,3.1,0.083,-0.6,-0.9,-1.5,0.2,,masonde01
Desmond Mason,25,MIL,SF,28,25,952,16.9,0.525,0.049,0.291,8.1,15.1,11.6,12.1,1.1,0.9,9.4,21.3,1.8,0.3,2.0,0.103,1.1,-2.2,-1.2,0.2,,masonde01
Jerry Stackhouse,28,WAS,SG,70,70,2747,18.7,0.528,0.204,0.431,2.6,8.5,5.6,21.7,1.3,0.8,11.9,27.9,5.1,1.4,6.5,0.114,2.9,-1.6,1.3,2.3,,stackje01
Juwan Howard,29,DEN,PF,77,77,2730,17.2,0.501,0.003,0.278,7.4,18.1,12.5,18.1,1.5,0.8,11.8,26.1,2.7,3.4,6.0,0.106,1.2,-0.1,1.1,2.1,,howarju01
Steve Nash,28,DAL,PG,82,82,2711,22.6,0.576,0.241,0.304,2.6,7.0,4.8,36.3,1.6,0.2,13.2,24.4,9.7,1.9,11.6,0.206,5.4,-0.8,4.6,4.5,MVP-11ASNBA3,nashst01
David Wesley,32,NOH,SG,73,73,2710,15.1,0.533,0.305,0.229,1.6,5.9,3.8,16.4,2.2,0.2,10.4,21.4,4.5,2.5,7.0,0.124,1.0,0.1,1.1,2.1,,wesleda01
Doug Christie,32,SAC,SG,80,80,2710,15.0,0.590,0.332,0.312,2.5,10.6,6.8,19.3,3.3,0.9,18.5,12.7,4.2,4.7,8.9,0.157,0.0,3.2,3.2,3.6,DPOY-5,chrisdo01
Sam Cassell,33,MIL,PG,78,77,2700,22.3,0.565,0.140,0.385,2.5,12.4,7.4,29.6,1.7,0.4,11.5,26.5,8.8,0.8,9.6,0.171,3.9,-1.2,2.7,3.2,,cassesa01
Jason Richardson,22,GSW,SG,82,82,2698,14.8,0.501,0.288,0.233,4.4,10.4,7.5,15.3,1.7,0.6,12.3,23.0,3.4,0.3,3.7,0.066,1.0,-1.6,-0.5,1.0,,richaja01
Rasheed Wallace,28,POR,PF,74,74,2684,18.5,0.552,0.281,0.249,5.1,19.6,12.3,10.2,1.4,2.2,10.3,23.3,5.1,3.4,8.5,0.151,2.3,0.2,2.5,3.1,,wallara01
Michael Finley,29,DAL,SF,69,69,2642,17.6,0.514,0.270,0.193,4.5,12.3,8.4,12.8,1.5,0.6,8.1,24.2,4.3,2.5,6.7,0.123,2.4,-0.8,1.7,2.4,,finlemi01
Brian Grant,30,MIA,C,82,82,2641,15.6,0.552,0.000,0.303,10.2,26.8,18.3,7.2,1.3,1.4,14.4,16.0,3.5,4.1,7.7,0.139,-0.8,0.4,-0.4,1.1,,grantbr01
Richard Hamilton,24,DET,SG,82,82,2640,18.7,0.531,0.093,0.411,3.9,10.5,7.1,17.0,1.3,0.4,11.6,31.3,4.3,3.0,7.3,0.132,1.2,-0.8,0.4,1.6,,hamilri01
Alvin Williams,28,TOR,PG,78,78,2638,16.7,0.508,0.161,0.264,2.3,8.6,5.3,27.7,2.2,0.6,11.2,19.7,4.4,1.2,5.5,0.101,0.8,-0.4,0.4,1.6,,willial02
