Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Landry Shamet,21,PHI,SG,54,4,1108,10.7,0.606,0.706,0.156,1.4,5.9,3.7,7.4,1.0,0.6,6.6,15.0,1.6,0.6,2.2,0.096,-0.7,-1.1,-1.9,0.0,,shamela01
Landry Shamet,21,LAC,SG,25,23,694,11.3,0.601,0.719,0.186,1.1,7.3,4.3,11.5,0.9,0.2,7.7,15.0,1.1,0.3,1.4,0.094,0.4,-1.6,-1.2,0.1,,shamela01
Larry Nance Jr.,26,CLE,C,67,30,1795,18.6,0.583,0.205,0.280,10.0,24.9,17.1,17.8,2.8,1.9,15.3,15.5,3.3,1.6,4.9,0.131,1.0,1.4,2.4,2.0,,nancela02
Terry Rozier,24,BOS,PG,79,14,1791,13.0,0.501,0.506,0.140,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.7,0.9,2.2,3.1,0.083,-0.7,0.5,-0.2,0.8,,roziete01
Nemanja Bjelica,30,SAC,PF,77,70,1788,15.4,0.585,0.433,0.155,7.0,18.8,12.8,11.1,1.4,2.7,11.5,16.5,2.7,1.9,4.5,0.122,0.4,0.5,0.9,1.3,,bjeline01
Derrick Favors,27,UTA,C,76,70,1766,21.8,0.624,0.126,0.368,12.9,21.3,17.2,8.0,1.5,4.8,10.5,19.4,4.4,3.5,7.9,0.215,1.8,1.5,3.3,2.4,,favorde01
Brandon Ingram,21,LAL,SF,52,52,1760,13.4,0.555,0.129,0.396,2.5,13.0,7.8,12.9,0.7,1.4,13.1,23.2,0.6,1.4,2.0,0.055,-1.3,-0.7,-2.0,0.0,,ingrabr01
Fred VanVleet,24,TOR,PG,64,28,1760,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.117,0.4,0.1,0.5,1.1,,vanvlfr01
Josh Okogie,20,MIN,SG,74,52,1757,9.3,0.492,0.423,0.319,2.5,10.9,6.6,6.9,2.4,1.6,9.8,15.4,-0.1,1.4,1.2,0.034,-3.5,0.4,-3.1,-0.5,ROY-8,okogijo01
Darius Miller,28,NOP,SF,69,15,1757,8.4,0.550,0.752,0.147,0.8,6.6,3.8,10.4,1.1,1.1,10.3,13.4,1.1,0.6,1.6,0.045,-2.1,-0.8,-2.9,-0.4,,milleda01
Langston Galloway,27,DET,SG,80,4,1745,10.7,0.534,0.647,0.164,3.0,7.9,5.4,7.3,1.0,0.4,3.7,16.1,2.1,1.3,3.4,0.094,-0.9,-0.6,-1.5,0.2,,gallola01
Mason Plumlee,28,DEN,C,82,17,1731,17.8,0.602,0.023,0.448,10.3,22.5,16.4,19.5,1.9,3.9,19.2,16.2,2.9,2.9,5.8,0.160,-0.5,2.6,2.1,1.8,,plumlma01
Derrick White,24,SAS,PG,67,55,1728,14.8,0.555,0.262,0.227,2.2,13.3,7.8,21.0,1.9,2.3,14.0,17.7,1.7,1.9,3.6,0.101,-0.4,1.3,0.9,1.3,,whitede01
Jabari Parker,23,2TM,PF,64,17,1724,15.5,0.560,0.260,0.246,4.9,21.8,13.3,14.1,1.3,1.5,15.4,24.6,0.1,1.3,1.4,0.039,-0.7,-0.9,-1.5,0.2,,parkeja01
Jabari Parker,23,CHI,PF,39,17,1042,14.6,0.543,0.246,0.233,4.2,21.1,12.6,13.2,1.1,1.2,14.1,25.0,-0.2,0.7,0.5,0.024,-1.1,-1.1,-2.1,0.0,,parkeja01
Jabari Parker,23,WAS,PF,25,0,682,17.0,0.587,0.284,0.267,5.9,23.0,14.3,15.4,1.6,2.0,17.4,24.0,0.3,0.6,0.9,0.063,0.0,-0.6,-0.6,0.2,,parkeja01
Noah Vonleh,23,NYK,PF,68,57,1722,13.9,0.561,0.311,0.355,6.7,25.8,16.0,11.1,1.3,2.5,14.7,14.8,1.5,1.7,3.2,0.090,-1.2,0.5,-0.7,0.6,,vonleno01
Josh Hart,23,LAL,SG,67,22,1715,9.3,0.526,0.591,0.172,2.2,12.6,7.5,7.0,1.7,1.9,10.4,13.5,0.2,1.9,2.1,0.059,-2.3,1.0,-1.3,0.3,,hartjo01
DeMarre Carroll,32,BRK,PF,67,8,1703,12.1,0.546,0.539,0.421,4.2,17.3,10.8,7.2,0.9,0.5,9.7,18.6,1.5,1.6,3.1,0.088,-0.9,-0.6,-1.5,0.2,,carrode01
Delon Wright,26,2TM,PG,75,13,1699,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11.0,18.1,1.9,2.4,4.3,0.121,0.1,1.4,1.5,1.5,,wrighde01
Delon Wright,26,TOR,PG,49,2,897,14.5,0.527,0.307,0.208,4.8,10.1,7.5,16.8,2.5,1.4,10.4,17.1,1.0,1.3,2.3,0.123,0.1,1.6,1.7,0.8,,wrighde01
Delon Wright,26,MEM,PG,26,11,802,16.6,0.519,0.294,0.336,4.0,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2.0,0.119,0.0,1.2,1.2,0.6,,wrighde01
Miles Bridges,20,CHO,SF,80,25,1696,13.1,0.548,0.391,0.151,4.2,16.6,10.3,8.1,1.6,2.5,8.4,15.1,1.4,1.5,2.9,0.083,-0.9,0.1,-0.8,0.5,,bridgmi02
Taj Gibson,33,MIN,PF,70,57,1686,17.8,0.612,0.063,0.330,10.8,18.3,14.5,7.3,1.5,2.0,10.6,17.2,3.7,1.4,5.1,0.144,0.3,-0.4,-0.1,0.8,,gibsota01
