Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Michael Finley,27,DAL,SF,82,82,3443,18.2,0.521,0.169,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,5.6,2.9,8.5,0.119,2.4,-0.5,1.9,3.4,MVP-15AS,finlemi01,2000-2001
Antoine Walker,24,BOS,PF,81,81,3396,18.9,0.505,0.351,0.202,5.0,20.4,12.3,26.8,2.1,1.1,13.8,29.1,2.7,3.8,6.6,0.093,3.5,-0.5,3.0,4.3,,walkean02,2000-2001
Antawn Jamison,24,GSW,SF,82,82,3394,19.0,0.499,0.113,0.295,8.1,14.8,11.2,9.5,1.7,0.6,8.9,27.9,5.4,1.3,6.7,0.094,2.8,-2.0,0.8,2.3,,jamisan01,2000-2001
Anthony Mason,34,MIA,PF,80,80,3254,17.4,0.555,0.000,0.497,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,6.0,5.6,11.6,0.171,0.8,1.1,1.9,3.2,MVP-15DPOY-8AS,masonan01,2000-2001
Gary Payton,32,SEA,PG,79,79,3244,22.1,0.522,0.171,0.223,2.6,10.1,6.4,36.6,2.1,0.6,10.7,27.2,9.1,1.7,10.8,0.160,4.7,-0.7,4.0,4.9,ASNBA3,paytoga01,2000-2001
Shareef Abdur-Rahim,24,VAN,SF,81,81,3241,19.1,0.549,0.050,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,,abdursh01,2000-2001
Jerry Stackhouse,26,DET,SG,80,80,3215,21.8,0.521,0.245,0.420,3.2,7.3,5.2,25.8,1.5,1.2,12.5,35.2,6.6,2.6,9.2,0.137,5.8,-0.7,5.1,5.8,MVP-14AS,stackje01,2000-2001
Kevin Garnett,24,MIN,PF,81,81,3202,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,11.8,0.176,4.5,1.4,6.0,6.4,MVP-5DPOY-2ASNBA2,garneke01,2000-2001
Steve Francis,23,HOU,PG,80,79,3194,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,9.2,3.0,12.2,0.184,4.5,0.5,5.0,5.7,,francst01,2000-2001
Baron Davis,21,CHH,PG,82,82,3192,16.6,0.512,0.286,0.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,4.2,4.7,8.9,0.134,1.0,1.4,2.4,3.6,,davisba01,2000-2001
Mike Bibby,22,VAN,PG,82,82,3190,16.8,0.525,0.246,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,2.2,,bibbymi01,2000-2001
Reggie Miller,35,IND,SG,81,81,3181,17.3,0.574,0.395,0.296,1.4,8.5,5.1,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,2.8,-0.6,2.3,3.4,,millere01,2000-2001
Tim Duncan,24,SAS,PF,82,82,3174,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,0.200,2.9,1.8,4.7,5.4,MVP-2DPOY-3ASNBA1,duncati01,2000-2001
Ray Allen,25,MIL,SG,82,82,3129,22.9,0.610,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9,MVP-11ASNBA3,allenra02,2000-2001
Dirk Nowitzki,22,DAL,PF,82,82,3125,22.8,0.601,0.313,0.431,4.4,22.1,13.5,9.4,1.3,2.3,9.5,23.8,10.3,4.3,14.6,0.224,4.9,0.5,5.4,5.9,NBA3,nowitdi01,2000-2001
Paul Pierce,23,BOS,SF,82,82,3120,22.3,0.563,0.254,0.488,3.4,16.7,9.8,16.9,2.3,1.7,12.5,30.6,6.9,3.5,10.4,0.160,4.5,-0.1,4.4,5.0,-MVP 13.00,piercpa01,2000-2001
David Wesley,30,CHH,SG,82,82,3106,15.3,0.509,0.208,0.274,2.4,5.9,4.1,21.7,2.2,0.4,11.0,23.1,4.2,3.4,7.6,0.117,0.4,0.0,0.4,1.9,,wesleda01,2000-2001
Jason Terry,23,ATL,SG,82,77,3089,17.3,0.531,0.230,0.262,1.5,8.2,4.9,24.3,1.8,0.3,13.6,25.5,4.9,1.6,6.5,0.100,2.3,-1.0,1.3,2.6,,terryja01,2000-2001
