Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Carlos Boozer,23,UTA,PF,51,51,1772,19.2,0.560,0.001,0.387,9.6,22.7,16.0,15.9,1.3,1.1,14.5,24.6,2.7,1.4,4.1,0.111,2.1,-0.7,1.4,1.5,,boozeca01
Hedo Türkoğlu,25,ORL,SF,67,11,1757,16.0,0.532,0.313,0.288,4.0,10.7,7.4,14.9,1.2,0.7,11.9,24.8,2.4,1.0,3.4,0.092,1.9,-1.2,0.7,1.2,6MOY-14,turkohe01
Anthony Johnson,30,IND,PG,63,36,1747,14.3,0.526,0.237,0.248,2.2,9.9,6.1,31.2,1.9,0.7,16.0,16.5,2.2,1.8,4.0,0.110,0.3,0.4,0.7,1.2,,johnsan02
Brent Barry,33,SAS,SG,81,8,1742,14.0,0.580,0.610,0.294,1.9,10.8,6.4,16.3,1.2,0.8,11.0,15.6,3.5,2.7,6.1,0.168,1.1,1.3,2.4,1.9,,barrybr01
Theo Ratliff,31,POR,C,63,45,1731,10.1,0.500,0.000,0.416,7.7,14.1,11.0,2.9,0.7,6.5,15.6,9.6,0.5,1.7,2.3,0.063,-3.5,1.7,-1.8,0.1,,ratlith01
Troy Hudson,28,MIN,PG,79,32,1729,12.1,0.491,0.389,0.136,1.3,5.4,3.5,26.5,0.8,0.2,13.8,21.9,0.7,0.6,1.3,0.036,-0.1,-2.3,-2.4,-0.2,,hudsotr01
Adonal Foyle,29,GSW,C,78,50,1700,12.7,0.514,0.000,0.232,10.1,17.7,13.7,4.9,0.8,6.7,14.5,10.4,1.2,2.2,3.4,0.096,-2.8,1.7,-1.2,0.3,,foylead01
Darius Miles,23,POR,SF,63,22,1699,15.5,0.511,0.033,0.308,5.0,14.9,10.2,14.2,2.4,3.3,16.6,25.7,-0.7,2.0,1.3,0.036,-1.5,0.8,-0.6,0.6,,milesda01
Clifford Robinson,38,2TM,C,71,29,1689,10.3,0.471,0.369,0.185,3.5,10.8,7.0,9.9,1.9,2.3,10.4,16.9,-0.1,1.8,1.7,0.049,-2.1,0.9,-1.3,0.3,,robincl02
Clifford Robinson,38,GSW,C,42,29,1090,11.0,0.473,0.359,0.164,2.9,8.7,5.7,10.8,2.1,2.5,9.7,17.0,0.1,1.0,1.1,0.046,-1.5,1.1,-0.4,0.5,,robincl02
Clifford Robinson,38,NJN,PF,29,0,599,9.0,0.467,0.391,0.231,4.6,14.7,9.5,8.5,1.6,1.9,11.8,16.5,-0.2,0.8,0.7,0.052,-3.3,0.4,-2.9,-0.1,,robincl02
Darius Songaila,26,SAC,PF,81,21,1668,14.9,0.566,0.006,0.227,8.4,14.7,11.5,10.5,1.6,0.8,11.5,16.2,3.1,1.2,4.3,0.124,-0.6,-0.3,-0.9,0.5,,songada01
Luol Deng,19,CHI,SF,61,45,1663,14.2,0.496,0.181,0.251,6.2,15.4,10.8,14.8,1.5,1.2,14.1,22.4,0.1,2.9,3.0,0.086,0.2,1.0,1.2,1.3,ROY-5,denglu01
Gordan Giriček,27,UTA,SG,81,44,1660,12.9,0.516,0.166,0.217,1.8,12.1,6.8,15.2,1.5,0.6,11.5,21.7,1.1,0.7,1.8,0.053,-0.8,-1.0,-1.7,0.1,,giricgo01
Quinton Ross,23,LAC,SG,78,19,1659,8.9,0.471,0.011,0.295,4.4,10.6,7.6,10.4,1.7,1.0,11.4,13.3,0.4,1.3,1.7,0.050,-3.0,0.3,-2.6,-0.3,,rossqu01
Marko Jarić,26,LAC,PG,50,41,1656,13.9,0.500,0.330,0.179,1.5,9.9,5.8,29.7,2.7,0.8,16.6,16.5,1.1,1.7,2.8,0.080,0.3,0.7,1.0,1.3,,jaricma01
Melvin Ely,26,CHA,PF,79,17,1649,10.5,0.465,0.000,0.403,9.3,13.5,11.3,7.6,1.0,3.1,15.7,19.7,-1.1,1.2,0.1,0.004,-3.4,-1.0,-4.4,-1.0,,elyme01
Donyell Marshall,31,TOR,PF,65,2,1645,19.9,0.591,0.613,0.154,6.4,23.3,14.7,8.4,1.8,2.0,6.2,18.7,4.1,1.9,6.0,0.176,4.7,0.2,4.9,2.9,6MOY-9,marshdo01
Chris Kaman,22,LAC,C,63,50,1632,13.1,0.522,0.002,0.244,10.2,20.5,15.6,7.7,0.9,3.1,17.3,18.8,0.2,1.9,2.1,0.061,-2.1,-0.3,-2.5,-0.2,,kamanch01
Juwan Howard,31,HOU,PF,61,47,1624,13.0,0.494,0.002,0.213,9.3,15.4,12.4,10.2,1.1,0.2,11.8,19.5,1.0,2.2,3.2,0.094,-1.6,-0.5,-2.1,0.0,,howarju01
Nick Van Exel,33,POR,SG,53,34,1619,12.5,0.494,0.458,0.132,1.5,9.7,5.7,23.3,1.5,0.0,13.4,19.5,0.9,0.7,1.6,0.049,0.3,-1.2,-1.0,0.4,,vanexni01
Jerry Stackhouse,30,DAL,SG,56,7,1617,15.9,0.525,0.181,0.450,2.7,9.8,6.3,13.0,1.7,0.5,11.8,24.9,1.9,1.5,3.5,0.103,0.4,-0.5,-0.2,0.8,6MOY-4,stackje01
