Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Mikal Bridges,25,PHO,SF,82,82,2854,14.4,0.627,0.364,0.183,2.9,10.0,6.5,8.7,1.6,1.1,6.8,15.0,5.2,3.7,8.9,0.150,0.5,1.1,1.6,2.6,DPOY-2,bridgmi01
Miles Bridges,23,CHO,PF,80,80,2837,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,5.0,2.3,7.2,0.123,1.8,-0.3,1.5,2.5,,bridgmi02
DeMar DeRozan,32,CHI,PF,76,76,2743,23.1,0.590,0.093,0.386,2.3,13.7,8.0,23.3,1.2,0.8,9.2,31.8,7.0,1.8,8.8,0.154,3.4,-0.9,2.5,3.1,MVP-10ASNBA2,derozde01
Jayson Tatum,23,BOS,SF,76,76,2731,21.8,0.578,0.416,0.300,3.5,20.2,12.1,21.1,1.4,1.6,10.9,32.1,5.0,4.6,9.6,0.169,4.3,0.6,5.0,4.8,MVP-6ASNBA1,tatumja01
Saddiq Bey,22,DET,SF,82,82,2704,14.0,0.529,0.537,0.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,2.4,1.6,4.0,0.071,0.9,-1.2,-0.3,1.2,,beysa01
Tyrese Haliburton,21,2TM,PG,77,77,2695,18.2,0.595,0.428,0.209,2.5,10.3,6.3,34.1,2.4,1.6,16.7,19.0,5.2,1.8,7.0,0.125,2.7,-0.1,2.6,3.1,,halibty01
Tyrese Haliburton,21,SAC,SG,51,51,1757,17.0,0.575,0.430,0.177,2.4,10.0,6.2,31.4,2.4,1.7,15.4,18.3,2.7,1.2,4.0,0.109,2.2,0.4,2.6,2.0,,halibty01
Tyrese Haliburton,21,IND,PG,26,26,938,20.5,0.629,0.424,0.266,2.6,10.9,6.7,38.9,2.5,1.4,18.9,20.3,2.5,0.6,3.0,0.156,3.8,-1.0,2.8,1.1,,halibty01
Russell Westbrook,33,LAL,PG,78,78,2678,15.0,0.512,0.215,0.324,4.4,18.8,11.6,31.6,1.3,0.7,17.3,27.3,-0.6,2.3,1.7,0.030,-0.7,-0.9,-1.6,0.2,,westbru01
Trae Young,23,ATL,PG,76,76,2652,25.4,0.603,0.395,0.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,0.181,7.1,-2.0,5.2,4.8,ASNBA3,youngtr01
Tyrese Maxey,21,PHI,PG,75,74,2650,16.2,0.594,0.311,0.247,1.1,8.9,5.1,19.1,1.0,1.1,7.4,20.2,5.4,1.9,7.3,0.132,1.3,-0.7,0.6,1.8,,maxeyty01
Dorian Finney-Smith,28,DAL,PF,80,80,2644,12.5,0.604,0.629,0.120,5.1,10.7,7.9,8.2,1.7,1.3,9.9,13.8,3.4,3.2,6.6,0.121,0.1,0.7,0.8,1.9,,finnedo01
Scottie Barnes,20,TOR,PF,74,74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19.0,3.7,2.9,6.6,0.122,0.5,0.4,0.9,1.9,ROY-1,barnesc01
Harrison Barnes,29,SAC,PF,77,77,2580,15.7,0.623,0.432,0.495,3.4,14.9,9.1,10.5,1.0,0.5,10.4,18.8,5.0,1.0,6.0,0.112,1.5,-1.3,0.2,1.4,,barneha02
