Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Antoine Walker,25,BOS,PF,81,81,3406,17.1,0.490,0.382,0.192,4.7,18.6,11.5,22.8,1.9,0.9,12.1,27.8,1.5,5.2,6.7,0.094,2.2,0.0,2.2,3.6,AS,walkean02,2001-2002
Tim Duncan,25,SAS,PF,82,82,3329,27.0,0.576,0.007,0.466,9.6,25.9,18.0,18.3,1.0,4.3,12.7,29.0,10.7,7.1,17.8,0.257,5.4,2.2,7.6,8.0,MVP-1ASNBA1,duncati01,2001-2002
Latrell Sprewell,31,NYK,SF,81,81,3326,13.7,0.501,0.284,0.244,2.1,8.3,5.2,17.5,1.5,0.3,12.4,25.1,1.1,1.7,2.8,0.041,0.3,-1.1,-0.8,0.9,,sprewla01,2001-2002
Baron Davis,22,CHH,PG,82,82,3318,18.2,0.498,0.356,0.252,3.2,8.8,6.0,37.3,2.8,1.0,14.2,23.9,4.4,3.8,8.2,0.118,3.3,0.4,3.8,4.8,AS,davisba01,2001-2002
Paul Pierce,24,BOS,SG,82,82,3302,22.3,0.570,0.325,0.402,2.6,16.5,9.4,15.7,2.4,2.0,11.4,29.3,7.3,5.6,12.9,0.187,4.7,1.3,5.9,6.6,MVP-11ASNBA3,piercpa01,2001-2002
Gary Payton,33,SEA,PG,82,82,3301,22.9,0.526,0.150,0.212,2.9,11.1,7.1,39.4,2.1,0.6,10.8,27.2,10.1,2.5,12.6,0.183,5.2,-0.2,5.1,5.9,MVP-6ASNBA2,paytoga01,2001-2002
Stephon Marbury,24,PHO,PG,82,80,3187,18.1,0.519,0.176,0.320,2.6,6.9,4.7,35.7,1.3,0.3,15.0,26.6,5.4,1.7,7.1,0.107,2.9,-1.6,1.2,2.6,,marbust01,2001-2002
Kevin Garnett,25,MIN,PF,81,81,3175,23.8,0.536,0.083,0.320,9.0,26.5,17.8,22.4,1.6,2.9,12.5,26.0,7.9,4.9,12.8,0.194,5.1,1.8,6.8,7.1,MVP-12DPOY-2ASNBA2,garneke01,2001-2002
Eddie Jones,30,MIA,SG,81,81,3156,17.5,0.546,0.319,0.296,2.3,11.6,7.0,15.4,2.0,1.9,9.9,22.7,5.6,5.0,10.5,0.160,2.2,1.7,3.9,4.6,,jonesed02,2001-2002
Jalen Rose,29,2TM,SF,83,83,3153,16.8,0.528,0.169,0.230,1.6,11.9,6.8,22.0,1.3,1.0,11.1,26.1,3.5,2.1,5.7,0.087,1.4,-1.1,0.3,1.9,,roseja01,2001-2002
Jalen Rose,29,IND,SF,53,53,1937,15.7,0.515,0.168,0.214,1.7,12.5,7.2,18.9,1.2,1.1,9.9,24.8,2.0,1.6,3.6,0.090,0.8,-0.5,0.3,1.1,,roseja01,2001-2002
Jalen Rose,29,CHI,SF,30,30,1216,18.4,0.547,0.170,0.254,1.3,10.8,6.0,26.9,1.4,1.0,12.8,28.3,1.6,0.5,2.1,0.082,2.3,-1.9,0.5,0.7,,roseja01,2001-2002
Anthony Mason,35,MIL,PF,82,82,3143,12.9,0.544,0.002,0.353,4.8,18.3,11.9,16.6,1.0,0.5,15.2,12.7,4.4,2.0,6.4,0.097,-0.3,-0.2,-0.6,1.1,,masonan01,2001-2002
Wally Szczerbiak,24,MIN,SF,82,82,3117,17.1,0.580,0.159,0.227,4.5,9.9,7.2,13.6,1.1,0.5,12.1,21.8,7.0,1.7,8.7,0.134,2.3,-0.9,1.4,2.7,AS,szczewa02,2001-2002
Cuttino Mobley,26,HOU,SG,74,74,3116,16.7,0.537,0.278,0.231,2.3,8.8,5.5,11.6,1.9,0.8,10.7,24.9,4.6,1.1,5.7,0.087,1.1,-0.8,0.3,1.8,,moblecu01,2001-2002
Shawn Marion,23,PHO,SF,81,81,3109,19.8,0.518,0.087,0.162,7.6,21.8,14.6,9.1,2.5,2.0,8.8,23.6,4.7,5.1,9.8,0.151,2.0,1.1,3.1,4.0,,mariosh01,2001-2002
Shane Battier,23,MEM,SF,78,78,3097,13.9,0.518,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,2.7,2.1,4.8,0.074,0.2,0.3,0.5,1.9,,battish01,2001-2002
Kobe Bryant,23,LAL,SG,80,80,3063,23.2,0.544,0.083,0.369,4.1,11.7,7.9,25.9,2.0,0.8,10.7,30.4,8.9,3.8,12.7,0.199,4.3,0.3,4.6,5.2,MVP-5DPOY-3ASNBA1,bryanko01,2001-2002
Jason Kidd,28,NJN,PG,82,82,3056,19.1,0.484,0.320,0.217,4.7,17.2,10.9,42.5,3.0,0.5,18.7,22.5,3.1,5.8,8.9,0.140,3.0,1.5,4.5,5.0,MVP-2ASNBA1,kiddja01,2001-2002
Karl Malone,38,UTA,PF,80,80,3040,21.1,0.532,0.018,0.457,5.6,21.7,13.6,21.8,2.7,1.5,13.5,28.8,5.5,4.3,9.8,0.155,2.9,0.8,3.7,4.4,AS,malonka01,2001-2002
Brent Barry,30,SEA,SG,81,81,3040,19.3,0.652,0.490,0.296,2.3,14.6,8.6,21.3,2.6,0.9,15.6,16.2,8.8,3.3,12.1,0.191,3.8,1.6,5.5,5.8,,barrybr01,2001-2002
Antawn Jamison,25,GSW,SF,82,82,3033,17.1,0.516,0.153,0.320,7.3,12.5,9.8,9.6,1.2,1.0,9.3,24.0,5.6,0.8,6.4,0.101,2.3,-2.1,0.2,1.7,,jamisan01,2001-2002
Jeff McInnis,27,LAC,PG,81,80,3030,13.8,0.486,0.209,0.195,1.7,6.2,4.0,27.6,1.1,0.1,10.8,20.3,4.4,0.8,5.1,0.081,0.1,-1.7,-1.6,0.3,,mcinnje01,2001-2002
Andre Miller,25,CLE,PG,81,81,3023,21.8,0.538,0.083,0.428,4.2,10.4,7.4,49.8,2.2,0.8,16.5,22.6,8.7,1.5,10.3,0.163,4.3,-0.3,3.9,4.5,,millean02,2001-2002
Elton Brand,22,LAC,PF,80,80,3020,23.6,0.586,0.000,0.519,15.0,19.6,17.3,11.0,1.4,3.7,12.2,21.1,9.9,3.7,13.6,0.216,3.9,0.4,4.3,4.8,MVP-16AS,brandel01,2001-2002
Pau Gasol,21,MEM,PF,82,79,3007,19.5,0.566,0.005,0.448,8.8,18.2,13.5,13.8,0.7,3.9,15.0,22.6,4.8,2.8,7.6,0.121,1.5,0.2,1.7,2.8,ROY-1,gasolpa01,2001-2002
Shareef Abdur-Rahim,25,ATL,PF,77,77,2980,19.8,0.536,0.054,0.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,4.1,3.1,7.2,0.116,1.9,-0.2,1.7,2.8,AS,abdursh01,2001-2002
Antonio Davis,33,TOR,PF,77,77,2978,14.8,0.497,0.001,0.372,9.5,19.4,14.3,8.7,1.0,2.1,12.4,19.6,3.0,3.6,6.5,0.105,-0.5,-0.4,-0.9,0.8,,davisan01,2001-2002
Jason Terry,24,ATL,SG,78,78,2967,19.2,0.549,0.364,0.279,1.5,8.9,5.2,26.9,2.5,0.3,11.7,23.6,6.6,2.1,8.6,0.139,3.3,-0.1,3.2,3.9,,terryja01,2001-2002
Rasheed Wallace,27,POR,PF,79,79,2963,19.3,0.540,0.246,0.213,5.3,20.4,12.8,9.3,1.8,2.6,8.5,23.7,5.6,4.1,9.7,0.158,2.4,0.5,3.0,3.7,,wallara01,2001-2002
Alvin Williams,27,TOR,PG,82,82,2927,13.8,0.470,0.199,0.144,2.2,9.0,5.5,26.6,2.5,0.7,12.7,18.4,2.2,3.1,5.2,0.086,-0.5,0.8,0.3,1.7,,willial02,2001-2002
Ben Wallace,27,DET,C,80,80,2921,18.6,0.522,0.006,0.488,12.9,28.9,21.0,6.2,2.5,6.7,10.7,10.5,4.3,7.2,11.6,0.190,1.2,3.3,4.4,4.8,MVP-10DPOY-1NBA3,wallabe01,2001-2002
Allan Houston,30,NYK,SG,77,77,2914,15.2,0.540,0.266,0.261,1.5,8.6,5.0,12.6,1.0,0.3,10.5,25.9,3.6,1.1,4.7,0.077,1.3,-1.4,-0.1,1.4,,houstal01,2001-2002
Tracy McGrady,22,ORL,SG,76,76,2912,25.1,0.532,0.178,0.350,5.7,17.3,11.5,25.8,2.1,1.8,9.4,31.1,8.1,3.4,11.5,0.189,6.4,0.4,6.8,6.4,MVP-4ASNBA1,mcgratr01,2001-2002
Dikembe Mutombo,35,PHI,C,80,80,2907,16.0,0.574,0.000,0.568,10.0,23.5,16.8,4.8,0.5,5.0,16.3,15.1,4.1,5.5,9.6,0.158,-0.5,1.2,0.7,2.0,DPOY-3ASNBA3,mutomdi01,2001-2002
Dirk Nowitzki,23,DAL,C,76,76,2891,24.1,0.599,0.278,0.410,4.7,24.0,14.5,10.8,1.5,1.9,8.9,25.5,10.2,3.1,13.4,0.222,5.4,0.1,5.5,5.5,MVP-8ASNBA2,nowitdi01,2001-2002
Reggie Miller,36,IND,SG,79,79,2889,16.5,0.617,0.485,0.356,0.9,7.5,4.3,14.7,1.6,0.2,10.2,18.5,7.7,1.9,9.5,0.159,2.7,-0.2,2.5,3.3,,millere01,2001-2002
