Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Jason Richardson,30,PHO,SG,25,25,796,183,389,0.470,62,148,0.419,121,241,0.502,0.550,55,72,0.764,33,78,111,36,27,3,30,46,483,0,,richaja01,2010-2011
Jason Richardson,30,ORL,SG,55,55,1919,289,667,0.433,127,331,0.384,162,336,0.482,0.528,61,87,0.701,34,186,220,111,66,10,65,116,766,0,,richaja01,2010-2011
Eric Gordon,22,LAC,SG,56,56,2112,427,949,0.450,106,291,0.364,321,658,0.488,0.506,287,348,0.825,45,119,164,244,71,18,151,115,1247,0,,gordoer01,2010-2011
Stephen Jackson,32,CHA,SG,67,67,2405,435,1059,0.411,121,359,0.337,314,700,0.449,0.468,249,305,0.816,53,251,304,241,80,28,209,161,1240,1,,jacksst02,2010-2011
Elton Brand,31,PHI,PF,81,81,2809,502,981,0.512,0,1,0.000,502,980,0.512,0.512,213,273,0.780,237,439,676,120,92,106,101,244,1217,0,,brandel01,2010-2011
Chauncey Billups,34,2TM,PG,72,72,2310,339,794,0.427,146,363,0.402,193,431,0.448,0.519,384,419,0.916,25,165,190,387,71,14,177,146,1208,0,,billuch01,2010-2011
Chauncey Billups,34,DEN,PG,51,51,1646,235,536,0.438,105,238,0.441,130,298,0.436,0.536,265,287,0.923,12,113,125,271,52,12,129,94,840,0,,billuch01,2010-2011
Chauncey Billups,34,NYK,PG,21,21,664,104,258,0.403,41,125,0.328,63,133,0.474,0.483,119,132,0.902,13,52,65,116,19,2,48,52,368,0,,billuch01,2010-2011
David Lee,27,GSW,PF,73,73,2634,496,978,0.507,1,3,0.333,495,975,0.508,0.508,210,267,0.787,217,497,714,233,74,31,170,211,1203,0,,leeda02,2010-2011
Lamar Odom,31,LAL,PF,82,35,2639,473,893,0.530,68,178,0.382,405,715,0.566,0.568,166,246,0.675,175,535,710,249,47,61,139,200,1180,0,6MOY-1,odomla01,2010-2011
D.J. Augustin,23,CHA,PG,82,82,2757,399,958,0.416,111,333,0.333,288,625,0.461,0.474,269,297,0.906,38,187,225,498,54,3,155,152,1178,0,,augusdj01,2010-2011
Al Horford,24,ATL,C,77,77,2704,513,921,0.557,2,4,0.500,511,917,0.557,0.558,150,188,0.798,182,536,718,266,59,80,119,193,1178,0,ASNBA3,horfoal01,2010-2011
Raymond Felton,26,2TM,SG,75,54,2737,427,1005,0.425,116,329,0.353,311,676,0.460,0.483,194,241,0.805,48,221,269,625,125,11,221,150,1164,1,,feltora01,2010-2011
Raymond Felton,26,NYK,PG,54,54,2074,339,801,0.423,88,268,0.328,251,533,0.471,0.478,157,181,0.867,40,154,194,488,97,11,176,113,923,1,,feltora01,2010-2011
Raymond Felton,26,DEN,SG,21,0,663,88,204,0.431,28,61,0.459,60,143,0.420,0.500,37,60,0.617,8,67,75,137,28,0,45,37,241,0,,feltora01,2010-2011
Jrue Holiday,20,PHI,PG,82,82,2901,446,999,0.446,81,222,0.365,365,777,0.470,0.487,172,209,0.823,68,264,332,531,120,29,218,203,1145,1,,holidjr01,2010-2011
DeMarcus Cousins,20,SAC,C,81,62,2309,432,1004,0.430,3,18,0.167,429,986,0.435,0.432,276,402,0.687,217,482,699,204,85,68,268,332,1143,0,ROY-3,couside01,2010-2011
John Wall,20,WAS,PG,69,64,2606,398,972,0.409,34,115,0.296,364,857,0.425,0.427,301,393,0.766,35,282,317,574,121,35,261,175,1131,1,ROY-2,walljo01,2010-2011
Nick Young,25,WAS,SG,64,40,2034,412,935,0.441,105,271,0.387,307,664,0.462,0.497,186,228,0.816,26,148,174,75,45,17,90,144,1115,0,,youngni01,2010-2011
Gerald Wallace,28,2TM,SF,71,63,2693,386,851,0.454,62,186,0.333,324,665,0.487,0.490,279,374,0.746,111,458,569,173,105,63,152,183,1113,0,DPOY-23,wallage01,2010-2011
Gerald Wallace,28,CHA,SF,48,48,1872,252,582,0.433,35,106,0.330,217,476,0.456,0.463,210,284,0.739,72,322,394,116,59,48,100,120,749,0,,wallage01,2010-2011
Gerald Wallace,28,POR,PF,23,15,821,134,269,0.498,27,80,0.338,107,189,0.566,0.548,69,90,0.767,39,136,175,57,46,15,52,63,364,0,,wallage01,2010-2011
Mike Conley,23,MEM,PG,81,81,2872,423,953,0.444,80,217,0.369,343,736,0.466,0.486,181,247,0.733,32,215,247,528,144,18,176,182,1107,0,,conlemi01,2010-2011
Steve Nash,36,PHO,PG,75,75,2497,399,811,0.492,81,205,0.395,318,606,0.525,0.542,227,249,0.912,40,220,260,855,48,4,265,87,1106,0,,nashst01,2010-2011
J.J. Hickson,22,CLE,C,80,66,2256,429,936,0.458,0,5,0.000,429,931,0.461,0.458,247,367,0.673,217,478,695,91,48,54,173,215,1105,0,,hicksjj01,2010-2011
Wilson Chandler,23,2TM,SF,72,49,2401,429,953,0.450,112,320,0.350,317,633,0.501,0.509,130,161,0.807,75,333,408,120,48,94,104,199,1100,0,,chandwi01,2010-2011
Wilson Chandler,23,NYK,SF,51,30,1759,328,712,0.461,86,245,0.351,242,467,0.518,0.521,96,119,0.807,62,241,303,86,34,70,67,152,838,0,,chandwi01,2010-2011
Wilson Chandler,23,DEN,SF,21,19,642,101,241,0.419,26,75,0.347,75,166,0.452,0.473,34,42,0.810,13,92,105,34,14,24,37,47,262,0,,chandwi01,2010-2011
Tayshaun Prince,30,DET,SF,78,78,2562,473,1001,0.473,34,98,0.347,439,903,0.486,0.490,118,168,0.702,78,251,329,215,30,41,82,90,1098,0,,princta01,2010-2011
Nenê,28,DEN,C,75,75,2291,402,654,0.615,1,5,0.200,401,649,0.618,0.615,286,402,0.711,145,426,571,149,84,73,134,238,1091,0,,hilarne01,2010-2011
Beno Udrih,28,SAC,PG,79,64,2734,412,824,0.500,65,182,0.357,347,642,0.540,0.539,197,228,0.864,41,224,265,386,94,9,141,181,1086,0,,udrihbe01,2010-2011
Rodney Stuckey,24,DET,PG,70,54,2183,363,827,0.439,26,90,0.289,337,737,0.457,0.455,330,381,0.866,70,146,216,361,76,10,155,177,1082,0,,stuckro01,2010-2011
Devin Harris,27,2TM,PG,71,70,2254,343,813,0.422,58,180,0.322,285,633,0.450,0.458,335,402,0.833,17,152,169,503,70,7,207,163,1079,0,,harride01,2010-2011
Devin Harris,27,NJN,PG,54,54,1724,260,612,0.425,33,110,0.300,227,502,0.452,0.452,258,307,0.840,11,118,129,411,57,5,158,130,811,0,,harride01,2010-2011
Devin Harris,27,UTA,PG,17,16,530,83,201,0.413,25,70,0.357,58,131,0.443,0.475,77,95,0.811,6,34,40,92,13,2,49,33,268,0,,harride01,2010-2011
Jamal Crawford,30,ATL,SG,76,0,2297,368,874,0.421,119,349,0.341,249,525,0.474,0.489,222,260,0.854,22,108,130,241,57,14,145,97,1077,0,6MOY-5,crawfja01,2010-2011
Andray Blatche,24,WAS,PF,64,63,2172,426,957,0.445,4,18,0.222,422,939,0.449,0.447,220,283,0.777,183,343,526,144,98,51,172,182,1076,0,,blatcan01,2010-2011
Ramon Sessions,24,CLE,PG,81,38,2133,362,776,0.466,3,15,0.200,359,761,0.472,0.468,348,423,0.823,46,209,255,419,60,8,178,93,1075,0,,sessira01,2010-2011
Rudy Gay,24,MEM,SF,54,54,2152,409,869,0.471,57,144,0.396,352,725,0.486,0.503,194,241,0.805,82,254,336,153,91,58,135,131,1069,0,,gayru01,2010-2011
Kevin Garnett,34,BOS,PF,71,71,2220,434,822,0.528,1,5,0.200,433,817,0.530,0.529,187,217,0.862,83,548,631,171,95,57,115,148,1056,0,DPOY-2AS,garneke01,2010-2011
Grant Hill,38,PHO,SF,80,80,2409,399,825,0.484,45,114,0.395,354,711,0.498,0.511,213,257,0.829,77,261,338,200,64,35,134,184,1056,0,DPOY-7,hillgr01,2010-2011
Thaddeus Young,22,PHI,PF,82,1,2135,458,847,0.541,6,22,0.273,452,825,0.548,0.544,123,174,0.707,153,281,434,82,90,26,99,170,1045,0,6MOY-3,youngth01,2010-2011
Darren Collison,23,IND,PG,79,79,2360,398,870,0.457,41,124,0.331,357,746,0.479,0.481,202,232,0.871,40,185,225,403,87,14,194,109,1039,0,,collida01,2010-2011
Carlos Boozer,29,CHI,C,59,59,1882,431,845,0.510,0,0,,431,845,0.510,0.510,171,244,0.701,130,435,565,145,45,18,149,186,1033,0,,boozeca01,2010-2011
Andre Miller,34,POR,PG,81,81,2650,388,844,0.460,4,37,0.108,384,807,0.476,0.462,249,292,0.853,97,205,302,566,114,12,197,171,1029,0,,millean02,2010-2011
Lou Williams,24,PHI,SG,75,0,1747,323,795,0.406,88,253,0.348,235,542,0.434,0.462,293,356,0.823,32,117,149,252,47,17,102,128,1027,0,6MOY-6,willilo02,2010-2011
Roy Hibbert,24,IND,C,81,80,2244,410,890,0.461,0,4,0.000,410,886,0.463,0.461,205,275,0.745,182,428,610,166,33,142,185,256,1025,0,,hibbero01,2010-2011
John Salmons,31,MIL,SG,73,70,2554,373,898,0.415,83,219,0.379,290,679,0.427,0.462,195,240,0.813,27,239,266,252,72,28,137,157,1024,0,,salmojo01,2010-2011
Tim Duncan,34,SAS,C,76,76,2156,419,838,0.500,0,4,0.000,419,834,0.502,0.500,184,257,0.716,169,509,678,203,50,146,122,119,1022,1,DPOY-17AS,duncati01,2010-2011
Vince Carter,34,2TM,SG,73,63,2051,389,891,0.437,116,321,0.361,273,570,0.479,0.502,128,173,0.740,54,221,275,146,67,20,90,193,1022,0,,cartevi01,2010-2011
Vince Carter,34,ORL,SG,22,22,664,125,266,0.470,27,78,0.346,98,188,0.521,0.521,56,75,0.747,11,79,90,64,20,3,36,70,333,0,,cartevi01,2010-2011
Vince Carter,34,PHO,SG,51,41,1387,264,625,0.422,89,243,0.366,175,382,0.458,0.494,72,98,0.735,43,142,185,82,47,17,54,123,689,0,,cartevi01,2010-2011
Brandon Jennings,21,MIL,PG,63,61,2169,361,926,0.390,98,303,0.323,263,623,0.422,0.443,199,246,0.809,42,192,234,305,95,21,146,131,1019,1,,jennibr01,2010-2011
Tyreke Evans,21,SAC,SG,57,53,2107,382,933,0.409,43,148,0.291,339,785,0.432,0.432,205,266,0.771,46,229,275,319,85,30,184,143,1012,0,,evansty01,2010-2011
Kyle Lowry,24,HOU,PG,75,71,2563,345,809,0.426,129,343,0.376,216,466,0.464,0.506,192,251,0.765,89,220,309,500,102,23,158,207,1011,1,,lowryky01,2010-2011
Antawn Jamison,34,CLE,PF,56,38,1842,374,876,0.427,91,263,0.346,283,613,0.462,0.479,171,234,0.731,86,289,375,93,50,30,77,137,1010,0,,jamisan01,2010-2011
C.J. Miles,23,UTA,SF,78,19,1969,366,899,0.407,109,339,0.322,257,560,0.459,0.468,159,196,0.811,54,201,255,135,74,38,93,221,1000,0,,milescj01,2010-2011
Shawn Marion,32,DAL,SF,80,27,2253,434,834,0.520,5,33,0.152,429,801,0.536,0.523,126,164,0.768,168,383,551,110,68,50,130,144,999,0,,mariosh01,2010-2011
James Harden,21,OKC,SG,82,5,2189,298,684,0.436,113,324,0.349,185,360,0.514,0.518,289,343,0.843,42,213,255,176,92,24,106,207,998,0,6MOY-7,hardeja01,2010-2011
Jeff Green,24,2TM,SF,75,51,2427,368,820,0.449,64,211,0.303,304,609,0.499,0.488,198,244,0.811,73,287,360,108,53,37,99,210,998,0,,greenje02,2010-2011
Jeff Green,24,OKC,PF,49,49,1815,270,618,0.437,56,184,0.304,214,434,0.493,0.482,148,181,0.818,57,217,274,89,40,21,76,142,744,0,,greenje02,2010-2011
Jeff Green,24,BOS,SF,26,2,612,98,202,0.485,8,27,0.296,90,175,0.514,0.505,50,63,0.794,16,70,86,19,13,16,23,68,254,0,,greenje02,2010-2011
Jameer Nelson,28,ORL,PG,76,76,2319,374,838,0.446,119,297,0.401,255,541,0.471,0.517,130,162,0.802,37,189,226,456,75,3,194,209,997,0,,nelsoja01,2010-2011
Nicolas Batum,22,POR,SF,80,67,2522,367,807,0.455,118,342,0.345,249,465,0.535,0.528,138,164,0.841,109,252,361,123,68,49,83,194,990,0,,batumni01,2010-2011
Channing Frye,27,PHO,PF,77,64,2541,358,829,0.432,171,439,0.390,187,390,0.479,0.535,89,107,0.832,65,448,513,96,46,79,73,272,976,0,,fryech01,2010-2011
Danilo Gallinari,22,2TM,SF,62,60,2104,265,640,0.414,103,293,0.352,162,347,0.467,0.495,337,391,0.862,59,246,305,104,51,27,83,144,970,0,,gallida01,2010-2011
Danilo Gallinari,22,NYK,PF,48,48,1671,211,509,0.415,83,239,0.347,128,270,0.474,0.496,259,290,0.893,48,181,229,82,38,18,58,117,764,0,,gallida01,2010-2011
Danilo Gallinari,22,DEN,SF,14,12,433,54,131,0.412,20,54,0.370,34,77,0.442,0.489,78,101,0.772,11,65,76,22,13,9,25,27,206,0,,gallida01,2010-2011
J.R. Smith,25,DEN,SF,79,6,1968,341,784,0.435,124,318,0.390,217,466,0.466,0.514,163,221,0.738,45,277,322,175,92,16,100,173,969,0,6MOY-10,smithjr01,2010-2011
Marc Gasol,26,MEM,C,81,81,2586,364,691,0.527,3,7,0.429,361,684,0.528,0.529,220,294,0.748,154,415,569,200,74,136,146,265,951,0,,gasolma01,2010-2011
Andre Iguodala,27,PHI,SF,67,67,2469,338,759,0.445,61,181,0.337,277,578,0.479,0.486,208,300,0.693,61,326,387,422,101,38,138,109,945,3,DPOY-8,iguodan01,2010-2011
Ty Lawson,23,DEN,PG,80,31,2103,346,688,0.503,69,171,0.404,277,517,0.536,0.553,172,225,0.764,67,142,209,377,80,4,137,133,933,0,6MOY-11,lawsoty01,2010-2011
Marcus Thornton,23,2TM,SG,73,23,1775,350,807,0.434,88,240,0.367,262,567,0.462,0.488,145,184,0.788,61,197,258,135,64,9,93,110,933,0,,thornma01,2010-2011
Marcus Thornton,23,NOH,SG,46,0,745,137,334,0.410,35,93,0.376,102,241,0.423,0.463,50,66,0.758,25,106,131,43,19,4,37,50,359,0,,thornma01,2010-2011
Marcus Thornton,23,SAC,SG,27,23,1030,213,473,0.450,53,147,0.361,160,326,0.491,0.506,95,118,0.805,36,91,127,92,45,5,56,60,574,0,,thornma01,2010-2011
Boris Diaw,28,CHA,PF,82,82,2778,381,774,0.492,78,226,0.345,303,548,0.553,0.543,84,123,0.683,105,309,414,337,74,46,166,190,924,1,,diawbo01,2010-2011
Ben Gordon,27,DET,SG,82,27,2131,339,770,0.440,107,266,0.402,232,504,0.460,0.510,136,160,0.850,41,154,195,171,48,16,141,178,921,0,,gordobe01,2010-2011
Glen Davis,25,BOS,C,78,13,2298,359,801,0.448,2,15,0.133,357,786,0.454,0.449,195,265,0.736,101,324,425,92,78,30,85,231,915,0,6MOY-4,davisgl01,2010-2011
Carl Landry,27,2TM,PF,76,26,2008,345,687,0.502,0,4,0.000,345,683,0.505,0.502,213,288,0.740,165,182,347,63,40,32,109,196,903,0,,landrca01,2010-2011
Carl Landry,27,SAC,PF,53,16,1406,238,484,0.492,0,3,0.000,238,481,0.495,0.492,155,215,0.721,127,126,253,50,30,20,82,125,631,0,,landrca01,2010-2011
Carl Landry,27,NOH,PF,23,10,602,107,203,0.527,0,1,0.000,107,202,0.530,0.527,58,73,0.795,38,56,94,13,10,12,27,71,272,0,,landrca01,2010-2011
Richard Jefferson,30,SAS,SF,81,81,2459,304,642,0.474,135,307,0.440,169,335,0.504,0.579,148,195,0.759,54,256,310,107,38,34,93,164,891,0,,jefferi01,2010-2011
George Hill,24,SAS,PG,76,5,2148,287,633,0.453,77,204,0.377,210,429,0.490,0.514,233,270,0.863,24,175,199,193,66,21,99,153,884,0,6MOY-8,hillge01,2010-2011
Hedo Türkoğlu,31,2TM,SF,81,72,2540,322,722,0.446,127,310,0.410,195,412,0.473,0.534,106,156,0.679,45,311,356,343,72,34,132,247,877,1,,turkohe01,2010-2011
Hedo Türkoğlu,31,PHO,PF,25,16,630,85,193,0.440,41,97,0.423,44,96,0.458,0.547,26,36,0.722,20,80,100,58,18,14,31,77,237,0,,turkohe01,2010-2011
Hedo Türkoğlu,31,ORL,SF,56,56,1910,237,529,0.448,86,213,0.404,151,316,0.478,0.529,80,120,0.667,25,231,256,285,54,20,101,170,640,1,,turkohe01,2010-2011
Arron Afflalo,25,DEN,SG,69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867,0,,afflaar01,2010-2011
Jared Dudley,25,PHO,SF,82,15,2140,300,629,0.477,105,253,0.415,195,376,0.519,0.560,162,218,0.743,111,207,318,108,87,20,77,139,867,0,,dudleja01,2010-2011
Toney Douglas,24,NYK,SG,81,9,1971,314,755,0.416,143,383,0.373,171,372,0.460,0.511,85,107,0.794,65,179,244,244,89,4,89,177,856,0,6MOY-14,douglto01,2010-2011
Brandon Bass,25,ORL,PF,76,51,1980,332,645,0.515,0,2,0.000,332,643,0.516,0.515,190,233,0.815,134,290,424,57,27,52,97,159,854,0,,bassbr01,2010-2011
Luke Ridnour,29,MIN,PG,71,66,2159,319,681,0.468,81,184,0.440,238,497,0.479,0.528,121,137,0.883,37,162,199,384,89,10,158,146,840,0,,ridnolu01,2010-2011
Charlie Villanueva,26,DET,PF,76,11,1666,313,708,0.442,125,323,0.387,188,385,0.488,0.530,89,116,0.767,50,245,295,48,42,42,66,175,840,0,,villach01,2010-2011
Marco Belinelli,24,NOH,SG,80,69,1957,302,691,0.437,134,324,0.414,168,367,0.458,0.534,98,125,0.784,17,134,151,92,38,6,77,146,836,0,,belinma01,2010-2011
Andrew Bogut,26,MIL,C,65,65,2297,367,742,0.495,0,4,0.000,367,738,0.497,0.495,96,217,0.442,199,521,720,131,47,168,125,217,830,0,DPOY-6,bogutan01,2010-2011
Trevor Ariza,25,NOH,SF,75,75,2600,303,762,0.398,82,271,0.303,221,491,0.450,0.451,138,197,0.701,61,347,408,162,120,31,118,180,826,0,,arizatr01,2010-2011
Marcin Gortat,26,2TM,C,80,14,2032,338,603,0.561,1,4,0.250,337,599,0.563,0.561,140,193,0.725,148,483,631,70,36,91,81,188,817,0,6MOY-9,gortama01,2010-2011
Marcin Gortat,26,ORL,C,25,2,396,44,81,0.543,0,0,,44,81,0.543,0.543,12,18,0.667,38,80,118,17,7,21,17,52,100,0,,gortama01,2010-2011
Marcin Gortat,26,PHO,C,55,12,1636,294,522,0.563,1,4,0.250,293,518,0.566,0.564,128,175,0.731,110,403,513,53,29,70,64,136,717,0,,gortama01,2010-2011
