Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Kevin Durant,22,OKC,SF,78,78,3038,711,1538,0.462,145,414,0.350,566,1124,0.504,0.509,594,675,0.880,57,476,533,214,88,76,218,159,2161,0,MVP-5ASNBA1,duranke01,2010-2011
LeBron James,26,MIA,SF,79,79,3063,758,1485,0.510,92,279,0.330,666,1206,0.552,0.541,503,663,0.759,80,510,590,554,124,50,284,163,2111,4,MVP-3DPOY-9ASNBA1,jamesle01,2010-2011
Kobe Bryant,32,LAL,SG,82,82,2779,740,1639,0.451,115,356,0.323,625,1283,0.487,0.487,483,583,0.828,83,336,419,388,99,12,243,172,2078,1,MVP-4DPOY-11ASNBA1,bryanko01,2010-2011
Derrick Rose,22,CHI,PG,81,81,3026,711,1597,0.445,128,385,0.332,583,1212,0.481,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026,1,MVP-1ASNBA1,rosede01,2010-2011
Amar'e Stoudemire,28,NYK,C,78,78,2870,744,1482,0.502,10,23,0.435,734,1459,0.503,0.505,473,597,0.792,198,438,636,202,71,150,250,274,1971,0,MVP-9ASNBA2,stoudam01,2010-2011
Carmelo Anthony,26,2TM,SF,77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.470,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,0,AS,anthoca01,2010-2011
Carmelo Anthony,26,DEN,SF,50,50,1774,437,967,0.452,42,126,0.333,395,841,0.470,0.474,343,417,0.823,77,305,382,140,43,31,142,134,1259,0,,anthoca01,2010-2011
Carmelo Anthony,26,NYK,SF,27,27,977,247,536,0.461,53,125,0.424,194,411,0.472,0.510,164,188,0.872,41,140,181,81,25,15,64,90,711,0,,anthoca01,2010-2011
Dwyane Wade,29,MIA,SG,76,76,2823,692,1384,0.500,63,206,0.306,629,1178,0.534,0.523,494,652,0.758,123,362,485,346,111,87,237,197,1941,1,MVP-7DPOY-16ASNBA2,wadedw01,2010-2011
Monta Ellis,25,GSW,SG,80,80,3227,726,1611,0.451,137,379,0.361,589,1232,0.478,0.493,340,431,0.789,44,237,281,450,168,23,252,203,1929,0,,ellismo01,2010-2011
Kevin Martin,27,HOU,SG,80,80,2603,553,1267,0.436,176,459,0.383,377,808,0.467,0.506,594,669,0.888,28,230,258,198,80,15,184,155,1876,0,,martike02,2010-2011
Blake Griffin,21,LAC,PF,82,82,3112,696,1376,0.506,7,24,0.292,689,1352,0.510,0.508,446,695,0.642,270,719,989,312,63,45,223,252,1845,2,MVP-10ROY-1AS,griffbl01,2010-2011
Russell Westbrook,22,OKC,PG,82,82,2847,614,1390,0.442,34,103,0.330,580,1287,0.451,0.454,531,631,0.842,121,258,379,670,155,30,316,207,1793,3,ASNBA2,westbru01,2010-2011
Dwight Howard,25,ORL,C,78,78,2935,619,1044,0.593,0,7,0.000,619,1037,0.597,0.593,546,916,0.596,309,789,1098,107,107,186,279,258,1784,0,MVP-2DPOY-1ASNBA1,howardw01,2010-2011
LaMarcus Aldridge,25,POR,PF,81,81,3211,707,1415,0.500,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,0,NBA3,aldrila01,2010-2011
Dirk Nowitzki,32,DAL,PF,73,73,2504,610,1179,0.517,66,168,0.393,544,1011,0.538,0.545,395,443,0.892,50,463,513,190,38,47,137,172,1681,0,MVP-6ASNBA2,nowitdi01,2010-2011
Brook Lopez,22,NJN,C,82,82,2889,644,1309,0.492,0,1,0.000,644,1308,0.492,0.492,385,489,0.787,197,291,488,129,47,120,176,240,1673,0,,lopezbr01,2010-2011
Danny Granger,27,IND,SF,79,79,2763,535,1260,0.425,157,407,0.386,378,853,0.443,0.487,395,466,0.848,87,338,425,203,89,62,206,213,1622,0,,grangda01,2010-2011
Pau Gasol,30,LAL,C,82,82,3037,593,1120,0.529,1,3,0.333,592,1117,0.530,0.530,354,430,0.823,268,568,836,273,48,130,142,203,1541,1,ASNBA2,gasolpa01,2010-2011
Al Jefferson,26,UTA,C,82,82,2940,654,1319,0.496,0,0,,654,1319,0.496,0.496,220,289,0.761,235,559,794,149,46,153,105,238,1528,0,,jeffeal01,2010-2011
Paul Pierce,33,BOS,SF,80,80,2774,507,1021,0.497,111,297,0.374,396,724,0.547,0.551,386,449,0.860,34,396,430,260,80,51,171,231,1511,1,AS,piercpa01,2010-2011
Zach Randolph,29,MEM,PF,75,74,2724,598,1188,0.503,8,43,0.186,590,1145,0.515,0.507,300,396,0.758,326,588,914,163,63,25,151,175,1504,0,NBA3,randoza01,2010-2011
Kevin Love,22,MIN,PF,73,73,2611,482,1026,0.470,88,211,0.417,394,815,0.483,0.513,424,499,0.850,330,782,1112,184,45,28,155,148,1476,0,MIP-1AS,loveke01,2010-2011
Chris Bosh,26,MIA,PF,77,77,2795,524,1056,0.496,6,25,0.240,518,1031,0.502,0.499,384,471,0.815,141,500,641,144,59,49,138,172,1438,0,AS,boshch01,2010-2011
Luol Deng,25,CHI,SF,82,82,3208,531,1155,0.460,115,333,0.345,416,822,0.506,0.510,253,336,0.753,116,360,476,230,78,48,156,162,1430,0,DPOY-10,denglu01,2010-2011
Andrea Bargnani,25,TOR,C,66,66,2353,525,1173,0.448,77,223,0.345,448,950,0.472,0.480,287,350,0.820,74,269,343,119,34,46,152,160,1414,0,,bargnan01,2010-2011
DeMar DeRozan,21,TOR,SG,82,82,2851,539,1154,0.467,5,52,0.096,534,1102,0.485,0.469,327,402,0.813,75,240,315,148,85,31,144,217,1410,0,,derozde01,2010-2011
Michael Beasley,22,MIN,SF,73,73,2361,561,1246,0.450,60,164,0.366,501,1082,0.463,0.474,219,291,0.753,118,291,409,158,54,52,195,222,1401,0,,beaslmi01,2010-2011
Manu Ginóbili,33,SAS,SG,80,79,2426,441,1018,0.433,154,441,0.349,287,577,0.497,0.509,357,410,0.871,42,253,295,393,123,28,174,163,1393,0,MVP-8ASNBA3,ginobma01,2010-2011
Stephen Curry,22,GSW,PG,74,74,2489,505,1053,0.480,151,342,0.442,354,711,0.498,0.551,212,227,0.934,52,234,286,432,109,20,226,233,1373,0,,curryst01,2010-2011
Tony Parker,28,SAS,PG,78,78,2528,555,1069,0.519,25,70,0.357,530,999,0.531,0.531,233,303,0.769,30,208,238,513,90,3,200,135,1368,0,-MVP 12.00,parketo01,2010-2011
Luis Scola,30,HOU,PF,74,74,2412,569,1129,0.504,0,3,0.000,569,1126,0.505,0.504,214,290,0.738,147,459,606,185,48,44,147,227,1352,0,,scolalu01,2010-2011
Dorell Wright,25,GSW,SF,82,82,3147,485,1146,0.423,194,516,0.376,291,630,0.462,0.508,180,228,0.789,88,343,431,242,124,63,133,171,1344,0,,wrighdo01,2010-2011
David West,30,NOH,PF,70,70,2451,528,1040,0.508,2,9,0.222,526,1031,0.510,0.509,264,327,0.807,155,374,529,164,67,62,142,202,1322,0,,westda01,2010-2011
Ray Allen,35,BOS,SG,80,80,2890,480,978,0.491,168,378,0.444,312,600,0.520,0.577,193,219,0.881,51,223,274,219,77,16,117,147,1321,0,AS,allenra02,2010-2011
Paul Millsap,25,UTA,PF,76,76,2605,525,988,0.531,9,23,0.391,516,965,0.535,0.536,256,338,0.757,164,415,579,187,103,69,145,272,1315,0,,millspa01,2010-2011
Joe Johnson,29,ATL,SG,72,72,2554,514,1161,0.443,89,300,0.297,425,861,0.494,0.481,195,243,0.802,59,232,291,338,47,7,146,131,1312,0,AS,johnsjo02,2010-2011
Deron Williams,26,2TM,PG,65,65,2465,428,975,0.439,105,317,0.331,323,658,0.491,0.493,348,412,0.845,40,220,260,667,79,15,230,190,1309,0,AS,willide01,2010-2011
Deron Williams,26,UTA,PG,53,53,2009,369,806,0.458,89,258,0.345,280,548,0.511,0.513,302,354,0.853,32,173,205,514,64,12,187,152,1129,0,,willide01,2010-2011
Deron Williams,26,NJN,PG,12,12,456,59,169,0.349,16,59,0.271,43,110,0.391,0.396,46,58,0.793,8,47,55,153,15,3,43,38,180,0,,willide01,2010-2011
Wesley Matthews,24,POR,SG,82,69,2758,440,979,0.449,154,378,0.407,286,601,0.476,0.528,266,315,0.844,48,210,258,164,102,9,138,195,1300,0,,matthwe02,2010-2011
Jason Terry,33,DAL,SG,82,10,2564,492,1091,0.451,127,351,0.362,365,740,0.493,0.509,182,214,0.850,24,129,153,334,93,13,167,140,1293,0,6MOY-2,terryja01,2010-2011
Josh Smith,25,ATL,PF,77,77,2645,497,1041,0.477,51,154,0.331,446,887,0.503,0.502,229,316,0.725,134,523,657,255,99,120,197,217,1274,1,DPOY-25,smithjo03,2010-2011
Chris Paul,25,NOH,PG,80,80,2880,430,928,0.463,71,183,0.388,359,745,0.482,0.502,337,384,0.878,38,289,327,782,188,5,177,196,1268,0,MVP-13DPOY-12ASNBA3,paulch01,2010-2011
Jason Richardson,30,2TM,SG,80,80,2715,472,1056,0.447,189,479,0.395,283,577,0.490,0.536,116,159,0.730,67,264,331,147,93,13,95,162,1249,0,,richaja01,2010-2011
