Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Sebastian Telfair,19,POR,PG,68,26,1330,169,430,0.393,17,69,0.246,152,361,0.421,0.413,105,133,0.789,10,94,104,224,35,4,125,120,460,0,,telfase01,2004-2005
Brian Cook,24,LAL,C,72,0,1087,176,422,0.417,78,199,0.392,98,223,0.439,0.509,28,37,0.757,63,153,216,35,23,26,29,139,458,0,,cookbr01,2004-2005
Zaza Pachulia,20,MIL,C,74,4,1397,160,354,0.452,0,1,0.000,160,353,0.453,0.452,138,185,0.746,131,247,378,60,44,34,70,166,458,0,,pachuza01,2004-2005
Jon Barry,35,2TM,SG,69,2,1505,161,368,0.438,71,165,0.430,90,203,0.443,0.534,62,71,0.873,26,133,159,167,60,9,67,95,455,0,,barryjo01,2004-2005
Jon Barry,35,ATL,SG,16,0,275,31,77,0.403,11,32,0.344,20,45,0.444,0.474,10,13,0.769,4,17,21,28,14,2,14,28,83,0,,barryjo01,2004-2005
Jon Barry,35,HOU,SG,53,2,1230,130,291,0.447,60,133,0.451,70,158,0.443,0.550,52,58,0.897,22,116,138,139,46,7,53,67,372,0,,barryjo01,2004-2005
Robert Horry,34,SAS,PF,75,16,1396,157,375,0.419,51,138,0.370,106,237,0.447,0.487,86,109,0.789,91,177,268,80,67,60,69,138,451,0,,horryro01,2004-2005
Rodney Buford,27,NJN,SF,64,17,1313,187,489,0.382,34,108,0.315,153,381,0.402,0.417,37,45,0.822,33,156,189,63,40,4,35,101,445,0,,buforro01,2004-2005
Rodney Rogers,33,2TM,SF,58,33,1367,172,450,0.382,48,168,0.286,124,282,0.440,0.436,52,70,0.743,61,185,246,86,41,20,86,172,444,0,,rogerro01,2004-2005
Rodney Rogers,33,NOH,SF,30,26,882,109,289,0.377,25,92,0.272,84,197,0.426,0.420,32,42,0.762,28,114,142,60,19,12,66,103,275,0,,rogerro01,2004-2005
Rodney Rogers,33,PHI,PF,28,7,485,63,161,0.391,23,76,0.303,40,85,0.471,0.463,20,28,0.714,33,71,104,26,22,8,20,69,169,0,,rogerro01,2004-2005
Leandro Barbosa,22,PHO,PG,63,6,1087,168,354,0.475,51,139,0.367,117,215,0.544,0.547,55,69,0.797,32,98,130,126,30,7,87,127,442,0,,barbole01,2004-2005
Ira Newble,30,CLE,SG,74,69,1832,182,424,0.429,19,53,0.358,163,371,0.439,0.452,55,69,0.797,78,142,220,91,50,18,61,144,438,0,,newblir01,2004-2005
Rick Brunson,32,LAC,PG,80,39,1945,166,442,0.376,48,130,0.369,118,312,0.378,0.430,57,74,0.770,23,164,187,410,82,7,125,106,437,0,,brunsri01,2004-2005
Willie Green,23,PHI,SG,57,21,1066,155,423,0.366,30,105,0.286,125,318,0.393,0.402,97,125,0.776,22,111,133,100,34,6,75,121,437,0,,greenwi01,2004-2005
Fred Hoiberg,32,MIN,SG,76,0,1272,139,284,0.489,70,145,0.483,69,139,0.496,0.613,89,102,0.873,32,149,181,85,50,15,20,105,437,0,,hoibefr01,2004-2005
Devin Harris,21,DAL,PG,76,19,1173,157,366,0.429,44,131,0.336,113,235,0.481,0.489,78,103,0.757,28,74,102,169,77,19,82,139,436,0,,harride01,2004-2005
Derek Anderson,30,POR,SG,47,32,1239,152,391,0.389,58,151,0.384,94,240,0.392,0.463,70,87,0.805,25,103,128,143,36,4,70,89,432,0,,anderde01,2004-2005
Greg Buckner,28,DEN,SG,70,41,1522,160,303,0.528,49,121,0.405,111,182,0.610,0.609,63,81,0.778,66,142,208,133,75,6,49,169,432,0,,buckngr01,2004-2005
Kelvin Cato,30,ORL,C,62,50,1525,160,297,0.539,0,0,,160,297,0.539,0.539,112,143,0.783,102,314,416,40,55,82,64,170,432,0,,catoke01,2004-2005
DeShawn Stevenson,23,ORL,SG,55,27,1089,174,426,0.408,25,67,0.373,149,359,0.415,0.438,56,101,0.554,38,64,102,69,16,9,57,73,429,0,,stevede01,2004-2005
Jeff Foster,28,IND,C,61,43,1594,168,324,0.519,0,5,0.000,168,319,0.527,0.519,90,142,0.634,205,345,550,43,46,12,55,186,426,0,,fosteje01,2004-2005
Chris Wilcox,22,LAC,C,54,25,1005,169,329,0.514,0,0,,169,329,0.514,0.514,88,144,0.611,63,165,228,38,26,24,77,129,426,0,,wilcoch01,2004-2005
Eric Williams,32,2TM,SG,55,39,1322,142,330,0.430,28,73,0.384,114,257,0.444,0.473,112,161,0.696,44,128,172,92,38,4,60,147,424,0,,willier01,2004-2005
Eric Williams,32,NJN,SG,21,21,739,87,185,0.470,17,40,0.425,70,145,0.483,0.516,74,108,0.685,28,67,95,42,16,2,34,80,265,0,,willier01,2004-2005
Eric Williams,32,TOR,SG,34,18,583,55,145,0.379,11,33,0.333,44,112,0.393,0.417,38,53,0.717,16,61,77,50,22,2,26,67,159,0,,willier01,2004-2005
Rasual Butler,25,MIA,SF,65,15,1203,163,409,0.399,57,153,0.373,106,256,0.414,0.468,37,48,0.771,15,136,151,62,18,29,37,104,420,0,,butlera01,2004-2005
Maurice Evans,26,SAC,SG,65,11,1233,165,373,0.442,27,82,0.329,138,291,0.474,0.479,59,78,0.756,88,113,201,45,37,8,34,104,416,0,,evansma01,2004-2005
Keith McLeod,25,UTA,PG,53,47,1382,143,408,0.350,18,72,0.250,125,336,0.372,0.373,112,146,0.767,20,93,113,236,63,12,99,138,416,0,,mcleoke01,2004-2005
Howard Eisley,32,UTA,PG,74,1,1428,161,405,0.398,27,103,0.262,134,302,0.444,0.431,66,83,0.795,15,75,90,250,45,9,111,156,415,0,,eisleho01,2004-2005
Rasho Nesterović,28,SAS,C,70,70,1785,198,430,0.460,0,0,,198,430,0.460,0.460,14,30,0.467,184,275,459,71,31,117,73,207,410,0,,nestera01,2004-2005
