Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Jonathan Bender,21,IND,SF,78,17,1647,198,460,0.430,45,125,0.360,153,335,0.457,0.479,140,181,0.773,64,180,244,62,19,49,96,147,581,0,,bendejo01,2001-2002
Devean George,24,LAL,SF,82,1,1759,215,523,0.411,66,178,0.371,149,345,0.432,0.474,85,126,0.675,78,225,303,111,71,42,66,190,581,0,,georgde01,2001-2002
Joe Johnson,20,2TM,SG,77,60,1916,251,584,0.430,38,130,0.292,213,454,0.469,0.462,41,53,0.774,75,182,257,179,59,20,71,114,581,0,,johnsjo02,2001-2002
Joe Johnson,20,BOS,SG,48,33,1003,130,296,0.439,24,88,0.273,106,208,0.510,0.480,20,26,0.769,40,99,139,74,33,9,28,59,304,0,,johnsjo02,2001-2002
Joe Johnson,20,PHO,SG,29,27,913,121,288,0.420,14,42,0.333,107,246,0.435,0.444,21,27,0.778,35,83,118,105,26,11,43,55,277,0,,johnsjo02,2001-2002
Travis Best,29,2TM,PG,74,21,1747,228,518,0.440,21,59,0.356,207,459,0.451,0.460,104,116,0.897,20,131,151,324,89,7,99,173,581,0,,besttr01,2001-2002
Travis Best,29,IND,PG,44,3,954,116,264,0.439,13,34,0.382,103,230,0.448,0.464,57,65,0.877,10,60,70,175,57,6,59,101,302,0,,besttr01,2001-2002
Travis Best,29,CHI,PG,30,18,793,112,254,0.441,8,25,0.320,104,229,0.454,0.457,47,51,0.922,10,71,81,149,32,1,40,72,279,0,,besttr01,2001-2002
Al Harrington,21,IND,PF,44,1,1313,230,484,0.475,1,3,0.333,229,481,0.476,0.476,115,144,0.799,96,180,276,54,41,21,78,166,576,0,,harrial01,2001-2002
Chris Mihm,22,CLE,C,74,60,1659,221,526,0.420,3,7,0.429,218,519,0.420,0.423,124,179,0.693,133,259,392,24,18,89,97,260,569,0,,mihmch01,2001-2002
Tyronn Lue,24,WAS,PG,71,0,1458,222,520,0.427,63,141,0.447,159,379,0.420,0.488,48,63,0.762,14,108,122,246,49,0,96,120,555,0,,luety01,2001-2002
Erick Dampier,26,GSW,C,73,46,1740,209,480,0.435,0,0,,209,480,0.435,0.435,136,211,0.645,167,220,387,87,17,167,156,235,554,0,,dampier01,2001-2002
Popeye Jones,31,WAS,PF,79,40,1920,222,508,0.437,4,11,0.364,218,497,0.439,0.441,106,130,0.815,233,345,578,127,50,19,88,209,554,0,,jonespo01,2001-2002
Robert Horry,31,LAL,PF,81,23,2140,183,460,0.398,76,203,0.374,107,257,0.416,0.480,108,138,0.783,130,349,479,232,77,89,88,208,550,0,6MOY-8,horryro01,2001-2002
Courtney Alexander,24,WAS,SG,56,28,1325,223,474,0.470,5,18,0.278,218,456,0.478,0.476,98,121,0.810,43,105,148,86,35,7,60,113,549,0,,alexaco02,2001-2002
