Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Kevin Garnett,27,MIN,PF,82,82,3231,804,1611,0.499,11,43,0.256,793,1568,0.506,0.502,368,465,0.791,245,894,1139,409,120,178,212,202,1987,2,MVP-1DPOY-6ASNBA1,garneke01,2003-2004
Peja Stojaković,26,SAC,SF,81,81,3264,665,1386,0.480,240,554,0.433,425,832,0.511,0.566,394,425,0.927,91,417,508,173,108,14,153,159,1964,0,MVP-4ASNBA2,stojape01,2003-2004
Tracy McGrady,24,ORL,SG,67,67,2675,653,1566,0.417,174,513,0.339,479,1053,0.455,0.473,398,500,0.796,95,307,402,370,93,42,179,129,1878,0,ASNBA2,mcgratr01,2003-2004
Paul Pierce,26,BOS,SG,80,80,3099,602,1497,0.402,115,384,0.299,487,1113,0.438,0.441,517,631,0.819,69,453,522,410,131,52,303,234,1836,1,AS,piercpa01,2003-2004
Michael Redd,24,MIL,SG,82,82,3021,633,1439,0.440,127,363,0.350,506,1076,0.470,0.484,383,441,0.868,118,289,407,185,81,6,116,152,1776,0,MVP-14ASNBA3,reddmi01,2003-2004
Carmelo Anthony,19,DEN,SF,82,82,2995,624,1465,0.426,69,214,0.322,555,1251,0.444,0.449,408,525,0.777,183,315,498,227,97,41,247,225,1725,0,MVP-14ROY-2,anthoca01,2003-2004
Dirk Nowitzki,25,DAL,C,77,77,2915,605,1310,0.462,99,290,0.341,506,1020,0.496,0.500,371,423,0.877,90,580,670,207,92,104,135,216,1680,0,MVP-10ASNBA3,nowitdi01,2003-2004
LeBron James,19,CLE,SG,79,79,3122,622,1492,0.417,63,217,0.290,559,1275,0.438,0.438,347,460,0.754,99,333,432,465,130,58,273,149,1654,0,MVP-9ROY-1,jamesle01,2003-2004
Vince Carter,27,TOR,SG,73,73,2785,608,1457,0.417,93,243,0.383,515,1214,0.424,0.449,336,417,0.806,95,254,349,348,88,65,223,212,1645,0,AS,cartevi01,2003-2004
Stephon Marbury,26,2TM,PG,81,81,3254,598,1386,0.431,87,274,0.318,511,1112,0.460,0.463,356,436,0.817,58,205,263,719,129,9,249,172,1639,0,,marbust01,2003-2004
Stephon Marbury,26,PHO,PG,34,34,1415,262,606,0.432,37,118,0.314,225,488,0.461,0.463,147,185,0.795,19,98,117,281,64,5,97,74,708,0,,marbust01,2003-2004
