Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Stephen Jackson,31,GSW,PF,9,9,300,56,133,0.421,11,40,0.275,45,93,0.484,0.462,26,37,0.703,6,29,35,42,14,6,26,16,149,0,,jacksst02,2009-2010
Stephen Jackson,31,CHA,SG,72,72,2829,544,1285,0.423,118,353,0.334,426,932,0.457,0.469,312,397,0.786,72,294,366,258,118,37,233,181,1518,0,,jacksst02,2009-2010
David Lee,26,NYK,C,81,81,3019,686,1258,0.545,0,8,0.000,686,1250,0.549,0.545,268,330,0.812,228,721,949,295,85,40,189,257,1640,1,DPOY-17AS,leeda02,2009-2010
Monta Ellis,24,GSW,SG,64,64,2647,631,1406,0.449,77,228,0.338,554,1178,0.470,0.476,292,388,0.753,47,210,257,340,143,25,244,189,1631,0,,ellismo01,2009-2010
Joe Johnson,28,ATL,SG,76,76,2886,635,1386,0.458,129,350,0.369,506,1036,0.488,0.505,220,269,0.818,74,279,353,369,82,5,145,145,1619,0,MVP-12ASNBA3,johnsjo02,2009-2010
Derrick Rose,21,CHI,PG,78,78,2871,672,1373,0.489,16,60,0.267,656,1313,0.500,0.495,259,338,0.766,65,228,293,469,57,27,217,96,1619,0,AS,rosede01,2009-2010
Aaron Brooks,25,HOU,PG,82,82,2919,575,1331,0.432,209,525,0.398,366,806,0.454,0.511,245,298,0.822,54,161,215,434,69,14,232,199,1604,0,MIP-1,brookaa01,2009-2010
Rudy Gay,23,MEM,SF,80,80,3175,600,1288,0.466,66,202,0.327,534,1086,0.492,0.491,301,400,0.753,115,357,472,153,118,64,169,201,1567,0,,gayru01,2009-2010
Brook Lopez,21,NJN,C,82,82,3027,563,1129,0.499,0,2,0.000,563,1127,0.500,0.499,416,509,0.817,270,439,709,187,55,139,204,251,1542,0,,lopezbr01,2009-2010
David West,29,NOH,PF,81,81,2949,619,1226,0.505,7,27,0.259,612,1199,0.510,0.508,296,342,0.865,164,441,605,239,76,60,173,233,1541,0,,westda01,2009-2010
Carlos Boozer,28,UTA,PF,78,78,2673,617,1098,0.562,0,0,,617,1098,0.562,0.562,285,384,0.742,181,693,874,247,84,36,212,270,1519,0,,boozeca01,2009-2010
Dwight Howard,24,ORL,C,82,82,2843,510,834,0.612,0,7,0.000,510,827,0.617,0.612,483,816,0.592,284,798,1082,144,75,228,274,287,1503,0,MVP-4DPOY-1ASNBA1,howardw01,2009-2010
Danny Granger,26,IND,SF,62,62,2278,488,1139,0.428,158,438,0.361,330,701,0.471,0.498,363,428,0.848,67,275,342,171,94,51,157,183,1497,0,,grangda01,2009-2010
Tyreke Evans,20,SAC,SG,72,72,2677,533,1165,0.458,36,141,0.255,497,1024,0.485,0.473,348,465,0.748,66,314,380,414,109,26,216,204,1450,1,ROY-1,evansty01,2009-2010
O.J. Mayo,22,MEM,SG,82,82,3113,542,1183,0.458,136,355,0.383,406,828,0.490,0.516,212,262,0.809,61,250,311,242,98,17,176,174,1432,0,,mayooj01,2009-2010
Chauncey Billups,33,DEN,PG,73,73,2490,402,962,0.418,157,407,0.386,245,555,0.441,0.499,466,512,0.910,25,203,228,409,82,9,177,153,1427,0,MVP-12AS,billuch01,2009-2010
Jamal Crawford,29,ATL,SG,79,0,2460,496,1105,0.449,163,427,0.382,333,678,0.491,0.523,270,315,0.857,34,167,201,238,61,12,137,132,1425,0,6MOY-1,crawfja01,2009-2010
Deron Williams,25,UTA,PG,76,76,2802,494,1053,0.469,96,259,0.371,398,794,0.501,0.515,335,418,0.801,50,253,303,798,96,16,252,208,1419,0,MVP-9ASNBA2,willide01,2009-2010
Chris Kaman,27,LAC,C,76,76,2608,589,1202,0.490,0,6,0.000,589,1196,0.492,0.490,230,307,0.749,184,520,704,120,37,94,223,213,1408,0,AS,kamanch01,2009-2010
Andre Iguodala,26,PHI,SF,82,82,3193,496,1120,0.443,94,303,0.310,402,817,0.492,0.485,315,430,0.733,82,447,529,472,141,55,218,145,1401,0,,iguodan01,2009-2010
Stephen Curry,21,GSW,PG,80,77,2896,528,1143,0.462,166,380,0.437,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399,1,ROY-2,curryst01,2009-2010
Brandon Roy,25,POR,SG,65,65,2419,491,1038,0.473,73,221,0.330,418,817,0.512,0.508,343,440,0.780,73,212,285,305,61,16,129,136,1398,0,ASNBA3,roybr01,2009-2010
Tim Duncan,33,SAS,C,78,77,2438,561,1082,0.518,2,11,0.182,559,1071,0.522,0.519,271,374,0.725,221,567,788,246,45,117,140,152,1395,0,DPOY-14ASNBA3,duncati01,2009-2010
LaMarcus Aldridge,24,POR,PF,78,78,2922,579,1169,0.495,5,16,0.313,574,1153,0.498,0.497,230,304,0.757,192,435,627,160,67,48,104,231,1393,0,,aldrila01,2009-2010
Corey Maggette,30,GSW,PF,70,49,2081,457,886,0.516,13,50,0.260,444,836,0.531,0.523,460,551,0.835,92,281,373,172,51,4,168,231,1387,0,,maggeco01,2009-2010
Gerald Wallace,27,CHA,SF,76,76,3119,456,943,0.484,52,140,0.371,404,803,0.503,0.511,422,544,0.776,150,612,762,161,117,83,178,194,1386,0,DPOY-3AS,wallage01,2009-2010
Andrea Bargnani,24,TOR,PF,80,80,2799,537,1143,0.470,121,325,0.372,416,818,0.509,0.523,181,234,0.774,105,388,493,93,25,111,120,215,1376,0,,bargnan01,2009-2010
Carl Landry,26,2TM,PF,80,29,2469,499,931,0.536,1,3,0.333,498,928,0.537,0.537,344,427,0.806,188,280,468,66,55,63,136,234,1343,0,6MOY-8,landrca01,2009-2010
Carl Landry,26,HOU,PF,52,1,1415,302,552,0.547,0,0,,302,552,0.547,0.547,235,280,0.839,122,164,286,40,28,46,86,146,839,0,,landrca01,2009-2010
Carl Landry,26,SAC,PF,28,28,1054,197,379,0.520,1,3,0.333,196,376,0.521,0.521,109,147,0.741,66,116,182,26,27,17,50,88,504,0,,landrca01,2009-2010
Steve Nash,35,PHO,PG,81,81,2660,499,985,0.507,124,291,0.426,375,694,0.540,0.570,211,225,0.938,34,234,268,892,42,12,295,108,1333,0,MVP-8ASNBA2,nashst01,2009-2010
Luis Scola,29,HOU,PF,82,82,2671,560,1090,0.514,1,5,0.200,559,1085,0.515,0.514,208,267,0.779,175,530,705,169,63,26,163,246,1329,0,,scolalu01,2009-2010
Russell Westbrook,21,OKC,PG,82,82,2813,485,1160,0.418,23,104,0.221,462,1056,0.438,0.428,329,422,0.780,143,258,401,652,108,34,268,204,1322,1,,westbru01,2009-2010
Ray Allen,34,BOS,SG,80,80,2819,464,973,0.477,145,399,0.363,319,574,0.556,0.551,231,253,0.913,45,208,253,210,64,25,129,182,1304,0,,allenra02,2009-2010
Al Jefferson,25,MIN,C,76,76,2463,560,1125,0.498,0,4,0.000,560,1121,0.500,0.498,181,266,0.680,180,523,703,137,63,98,136,205,1301,0,,jeffeal01,2009-2010
Paul Pierce,32,BOS,SF,71,71,2411,409,867,0.472,109,263,0.414,300,604,0.497,0.535,369,433,0.852,39,271,310,218,84,31,166,196,1296,0,AS,piercpa01,2009-2010
Jason Terry,32,DAL,SG,77,12,2540,456,1041,0.438,136,373,0.365,320,668,0.479,0.503,232,268,0.866,19,121,140,292,94,17,109,142,1280,0,6MOY-2,terryja01,2009-2010
Al Harrington,29,NYK,PF,72,15,2195,448,1030,0.435,140,409,0.342,308,621,0.496,0.503,240,317,0.757,88,317,405,110,62,26,132,209,1276,0,6MOY-11,harrial01,2009-2010
Brandon Jennings,20,MIL,PG,82,82,2671,451,1216,0.371,145,388,0.374,306,828,0.370,0.431,223,273,0.817,49,233,282,470,105,18,200,191,1270,0,ROY-3,jennibr01,2009-2010
Josh Smith,24,ATL,PF,81,81,2871,504,999,0.505,0,7,0.000,504,992,0.508,0.505,261,422,0.618,223,482,705,342,130,172,198,240,1269,1,DPOY-2,smithjo03,2009-2010
John Salmons,30,2TM,SG,81,56,2824,437,991,0.441,118,309,0.382,319,682,0.468,0.501,253,305,0.830,35,235,270,223,99,26,123,166,1245,0,,salmojo01,2009-2010
John Salmons,30,CHI,SG,51,28,1695,230,548,0.420,73,192,0.380,157,356,0.441,0.486,116,147,0.789,18,156,174,125,65,22,70,101,649,0,,salmojo01,2009-2010
John Salmons,30,MIL,SG,30,28,1129,207,443,0.467,45,117,0.385,162,326,0.497,0.518,137,158,0.867,17,79,96,98,34,4,53,65,596,0,,salmojo01,2009-2010
Vince Carter,33,ORL,SG,75,74,2310,434,1015,0.428,119,324,0.367,315,691,0.456,0.486,257,306,0.840,33,260,293,236,53,18,106,189,1244,0,,cartevi01,2009-2010
Jeff Green,23,OKC,PF,82,82,3043,485,1070,0.453,104,312,0.333,381,758,0.503,0.502,165,223,0.740,112,378,490,134,104,72,135,221,1239,0,,greenje02,2009-2010
Jason Richardson,29,PHO,SG,79,76,2485,473,998,0.474,157,400,0.393,316,598,0.528,0.553,136,184,0.739,81,323,404,143,66,33,92,169,1239,0,,richaja01,2009-2010
Manu Ginóbili,32,SAS,SG,75,21,2150,398,903,0.441,132,350,0.377,266,553,0.481,0.514,309,355,0.870,68,216,284,370,103,24,154,154,1237,0,MVP-116MOY-4,ginobma01,2009-2010
Antawn Jamison,33,2TM,PF,66,64,2406,478,1036,0.461,85,247,0.344,393,789,0.498,0.502,194,300,0.647,136,419,555,84,71,21,91,179,1235,0,,jamisan01,2009-2010
Antawn Jamison,33,WAS,PF,41,41,1595,315,700,0.450,58,168,0.345,257,532,0.483,0.491,152,217,0.700,99,263,362,52,43,9,61,112,840,0,,jamisan01,2009-2010
Antawn Jamison,33,CLE,PF,25,23,811,163,336,0.485,27,79,0.342,136,257,0.529,0.525,42,83,0.506,37,156,193,32,28,12,30,67,395,0,,jamisan01,2009-2010
Luol Deng,24,CHI,SF,70,69,2651,473,1014,0.466,32,83,0.386,441,931,0.474,0.482,252,330,0.764,131,381,512,143,66,61,134,129,1230,0,,denglu01,2009-2010
Danilo Gallinari,21,NYK,SF,81,74,2747,392,927,0.423,186,488,0.381,206,439,0.469,0.523,251,307,0.818,65,333,398,135,75,58,110,191,1221,0,,gallida01,2009-2010
Rodney Stuckey,23,DET,PG,73,67,2499,449,1109,0.405,18,79,0.228,431,1030,0.418,0.413,299,359,0.833,67,214,281,348,101,12,163,205,1215,0,,stuckro01,2009-2010
Caron Butler,29,2TM,SG,74,74,2783,450,1051,0.428,42,145,0.290,408,906,0.450,0.448,264,315,0.838,104,357,461,156,116,24,160,193,1206,0,,butleca01,2009-2010
Caron Butler,29,WAS,SF,47,47,1853,293,694,0.422,25,95,0.263,268,599,0.447,0.440,185,211,0.877,68,248,316,107,68,15,113,126,796,0,,butleca01,2009-2010
Caron Butler,29,DAL,SG,27,27,930,157,357,0.440,17,50,0.340,140,307,0.456,0.464,79,104,0.760,36,109,145,49,48,9,47,67,410,0,,butleca01,2009-2010
Pau Gasol,29,LAL,C,65,65,2403,452,844,0.536,0,5,0.000,452,839,0.539,0.536,286,362,0.790,243,491,734,218,37,113,143,152,1190,0,ASNBA3,gasolpa01,2009-2010
Michael Beasley,21,MIA,PF,78,78,2328,468,1040,0.450,28,102,0.275,440,938,0.469,0.463,192,240,0.800,123,375,498,100,80,49,131,221,1156,0,,beaslmi01,2009-2010
J.R. Smith,24,DEN,SG,75,0,2082,428,1033,0.414,158,467,0.338,270,566,0.477,0.491,142,201,0.706,28,206,234,183,99,20,139,174,1156,0,6MOY-5,smithjr01,2009-2010
Al Horford,23,ATL,C,81,81,2845,467,847,0.551,1,1,1.000,466,846,0.551,0.552,213,270,0.789,236,563,799,189,59,91,122,225,1148,0,AS,horfoal01,2009-2010
Andre Miller,33,POR,PG,82,66,2500,404,908,0.445,16,80,0.200,388,828,0.469,0.454,322,392,0.821,81,185,266,445,93,9,173,169,1146,0,,millean02,2009-2010
Baron Davis,30,LAC,PG,75,73,2523,412,1015,0.406,82,296,0.277,330,719,0.459,0.446,239,291,0.821,52,214,266,598,126,43,211,210,1145,1,,davisba01,2009-2010
Andray Blatche,23,WAS,PF,81,36,2256,478,999,0.478,13,44,0.295,465,955,0.487,0.485,174,234,0.744,158,351,509,170,85,71,182,218,1143,0,,blatcan01,2009-2010
Nenê,27,DEN,C,82,82,2755,421,717,0.587,0,2,0.000,421,715,0.589,0.587,293,416,0.704,166,461,627,203,115,82,125,281,1135,0,,hilarne01,2009-2010
Rajon Rondo,23,BOS,PG,81,81,2963,459,904,0.508,17,80,0.213,442,824,0.536,0.517,175,282,0.621,100,260,360,794,189,11,246,198,1110,2,DPOY-5AS,rondora01,2009-2010
Andrew Bogut,25,MIL,C,69,69,2229,473,910,0.520,0,2,0.000,473,908,0.521,0.520,149,237,0.629,208,493,701,127,39,175,131,222,1095,0,DPOY-7NBA3,bogutan01,2009-2010
Jonny Flynn,20,MIN,PG,81,81,2339,397,952,0.417,77,215,0.358,320,737,0.434,0.457,223,270,0.826,24,167,191,356,82,2,233,98,1094,0,ROY-5,flynnjo01,2009-2010
Mo Williams,27,CLE,PG,69,68,2359,378,855,0.442,159,371,0.429,219,484,0.452,0.535,177,198,0.894,28,178,206,368,70,21,173,170,1092,0,,willima01,2009-2010
Devin Harris,26,NJN,PG,64,61,2221,356,884,0.403,60,217,0.276,296,667,0.444,0.437,308,386,0.798,24,179,203,423,79,18,181,178,1080,0,,harride01,2009-2010
Trevor Ariza,24,HOU,SF,72,71,2629,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072,1,,arizatr01,2009-2010
Corey Brewer,23,MIN,SG,82,82,2482,409,949,0.431,82,237,0.346,327,712,0.459,0.474,166,256,0.648,70,209,279,193,117,29,164,224,1066,0,,breweco01,2009-2010
Marcus Thornton,22,NOH,SG,73,17,1872,398,883,0.451,117,313,0.374,281,570,0.493,0.517,144,177,0.814,72,139,211,114,58,11,76,127,1057,0,6MOY-10,thornma01,2009-2010
Troy Murphy,29,IND,PF,72,69,2344,384,813,0.472,128,333,0.384,256,480,0.533,0.551,154,193,0.798,129,608,737,150,72,34,100,175,1050,0,,murphtr01,2009-2010
Eric Gordon,21,LAC,SG,62,60,2229,352,784,0.449,119,321,0.371,233,463,0.503,0.525,222,299,0.742,25,135,160,186,69,14,144,96,1045,0,,gordoer01,2009-2010
Beno Udrih,27,SAC,PG,79,41,2477,415,841,0.493,75,199,0.377,340,642,0.530,0.538,118,141,0.837,38,181,219,372,89,10,136,166,1023,1,,udrihbe01,2009-2010
Rashard Lewis,30,ORL,PF,72,72,2369,350,805,0.435,168,423,0.397,182,382,0.476,0.539,145,180,0.806,62,256,318,107,78,28,108,180,1013,0,,lewisra02,2009-2010
Marc Gasol,25,MEM,C,69,69,2469,378,651,0.581,0,1,0.000,378,650,0.582,0.581,252,376,0.670,208,432,640,165,69,109,135,254,1008,0,,gasolma01,2009-2010
Elton Brand,30,PHI,PF,76,57,2297,412,858,0.480,0,1,0.000,412,857,0.481,0.480,172,233,0.738,179,282,461,109,82,80,131,232,996,0,,brandel01,2009-2010
Richard Jefferson,29,SAS,SF,81,70,2520,362,775,0.467,59,187,0.316,303,588,0.515,0.505,211,287,0.735,58,298,356,158,45,40,105,178,994,0,,jefferi01,2009-2010
Wilson Chandler,22,NYK,SG,65,64,2320,412,860,0.479,40,150,0.267,372,710,0.524,0.502,129,160,0.806,93,255,348,138,46,49,108,184,993,0,,chandwi01,2009-2010
Kevin Garnett,33,BOS,PF,69,69,2060,402,772,0.521,1,5,0.200,401,767,0.523,0.521,185,221,0.837,78,428,506,185,68,57,101,170,990,0,AS,garneke01,2009-2010
Mehmet Okur,30,UTA,C,73,73,2149,355,775,0.458,82,213,0.385,273,562,0.486,0.511,196,239,0.820,132,383,515,119,38,81,127,223,988,0,,okurme01,2009-2010
Rasual Butler,30,LAC,SF,82,64,2702,356,870,0.409,145,432,0.336,211,438,0.482,0.493,122,145,0.841,39,201,240,116,36,68,79,121,979,0,,butlera01,2009-2010
Andrew Bynum,22,LAL,C,65,65,1977,392,688,0.570,0,1,0.000,392,687,0.571,0.570,193,261,0.739,177,364,541,68,35,94,115,193,977,0,,bynuman01,2009-2010
Raymond Felton,25,CHA,PG,80,80,2643,388,846,0.459,60,156,0.385,328,690,0.475,0.494,132,173,0.763,53,235,288,446,123,22,168,172,968,0,,feltora01,2009-2010
George Hill,23,SAS,PG,78,43,2276,353,738,0.478,75,188,0.399,278,550,0.505,0.529,183,237,0.772,42,163,205,226,69,26,101,222,964,0,,hillge01,2009-2010
Mike Conley,22,MEM,PG,80,80,2569,369,830,0.445,82,212,0.387,287,618,0.464,0.494,139,187,0.743,30,161,191,425,109,12,170,178,959,0,,conlemi01,2009-2010
Paul Millsap,24,UTA,PF,82,8,2277,385,716,0.538,1,9,0.111,384,707,0.543,0.538,183,264,0.693,186,373,559,131,64,99,116,285,954,0,6MOY-7,millspa01,2009-2010
Jermaine O'Neal,31,MIA,C,70,70,1991,394,745,0.529,0,2,0.000,394,743,0.530,0.529,162,225,0.720,124,362,486,92,25,95,125,212,950,0,,onealje01,2009-2010
Darren Collison,22,NOH,PG,76,37,2109,376,789,0.477,46,115,0.400,330,674,0.490,0.506,148,174,0.851,41,151,192,432,78,4,202,92,946,1,ROY-4,collida01,2009-2010
Roy Hibbert,23,IND,C,81,69,2035,387,782,0.495,3,6,0.500,384,776,0.495,0.497,169,224,0.754,177,287,464,158,30,131,145,285,946,0,,hibbero01,2009-2010
Kevin Martin,26,2TM,SG,46,43,1633,289,693,0.417,70,210,0.333,219,483,0.453,0.468,298,340,0.876,29,135,164,111,46,6,92,96,946,0,,martike02,2009-2010
Kevin Martin,26,SAC,SG,22,21,774,135,339,0.398,39,110,0.355,96,229,0.419,0.456,127,155,0.819,20,74,94,57,23,4,35,51,436,0,,martike02,2009-2010
Kevin Martin,26,HOU,SG,24,22,859,154,354,0.435,31,100,0.310,123,254,0.484,0.479,171,185,0.924,9,61,70,54,23,2,57,45,510,0,,martike02,2009-2010
Jason Thompson,23,SAC,C,75,58,2357,370,784,0.472,1,10,0.100,369,774,0.477,0.473,198,277,0.715,224,413,637,124,41,73,139,279,939,0,,thompja02,2009-2010
Jarrett Jack,26,TOR,PG,82,43,2243,323,671,0.481,82,199,0.412,241,472,0.511,0.542,203,241,0.842,30,192,222,413,60,6,163,151,931,0,,jackja01,2009-2010
Charlie Villanueva,25,DET,PF,78,16,1848,363,827,0.439,99,282,0.351,264,545,0.484,0.499,106,130,0.815,85,280,365,53,48,55,74,223,931,0,,villach01,2009-2010
Thaddeus Young,21,PHI,PF,67,45,2145,382,813,0.470,48,138,0.348,334,675,0.495,0.499,114,165,0.691,130,220,350,97,81,15,126,133,926,0,,youngth01,2009-2010
Boris Diaw,27,CHA,PF,82,82,2906,373,773,0.483,66,206,0.320,307,567,0.541,0.525,113,147,0.769,131,293,424,325,60,57,178,219,925,0,,diawbo01,2009-2010
Grant Hill,37,PHO,SF,81,81,2430,336,703,0.478,35,80,0.438,301,623,0.483,0.503,205,251,0.817,74,371,445,193,60,36,108,165,912,0,,hillgr01,2009-2010
Channing Frye,26,PHO,C,81,41,2190,317,703,0.451,172,392,0.439,145,311,0.466,0.573,98,121,0.810,66,361,427,113,64,74,73,263,904,0,,fryech01,2009-2010
Anthony Morrow,24,GSW,SG,69,37,2018,329,703,0.468,140,307,0.456,189,396,0.477,0.568,101,114,0.886,61,198,259,104,65,16,84,158,899,0,,morroan01,2009-2010
Shawn Marion,31,DAL,SF,75,75,2385,395,778,0.508,3,19,0.158,392,759,0.516,0.510,105,139,0.755,158,319,477,107,69,61,99,141,898,0,DPOY-13,mariosh01,2009-2010
Lou Williams,23,PHI,PG,64,38,1912,318,677,0.470,70,206,0.340,248,471,0.527,0.521,192,233,0.824,25,162,187,268,80,15,106,110,898,0,,willilo02,2009-2010
Tony Parker,27,SAS,PG,56,50,1728,349,716,0.487,10,34,0.294,339,682,0.497,0.494,186,246,0.756,7,128,135,317,29,8,149,96,894,0,,parketo01,2009-2010
Courtney Lee,24,NJN,SG,71,66,2375,338,775,0.436,76,225,0.338,262,550,0.476,0.485,133,153,0.869,60,192,252,121,93,20,76,130,885,0,,leeco01,2009-2010
Lamar Odom,30,LAL,PF,82,38,2585,342,739,0.463,58,182,0.319,284,557,0.510,0.502,140,202,0.693,184,618,802,267,75,59,150,227,882,0,6MOY-6,odomla01,2009-2010
Ben Gordon,26,DET,SG,62,17,1730,291,699,0.416,75,234,0.321,216,465,0.465,0.470,198,230,0.861,26,93,119,166,49,6,118,147,855,0,,gordobe01,2009-2010
Luke Ridnour,28,MIL,PG,82,0,1759,328,686,0.478,69,181,0.381,259,505,0.513,0.528,127,140,0.907,24,119,143,324,54,7,106,182,852,0,,ridnolu01,2009-2010
Emeka Okafor,27,NOH,C,82,82,2370,348,656,0.530,0,0,,348,656,0.530,0.530,154,274,0.562,251,491,742,55,54,127,111,218,850,0,,okafoem01,2009-2010
Metta World Peace,30,LAL,SF,77,77,2605,306,740,0.414,105,296,0.355,201,444,0.453,0.484,128,186,0.688,99,232,331,234,106,21,121,165,845,0,DPOY-6,artesro01,2009-2010
Kevin Love,21,MIN,PF,60,22,1714,291,646,0.450,35,106,0.330,256,540,0.474,0.478,225,276,0.815,227,431,658,136,43,23,117,136,842,0,6MOY-11,loveke01,2009-2010
Chris Paul,24,NOH,PG,45,45,1712,314,637,0.493,52,127,0.409,262,510,0.514,0.534,161,190,0.847,20,171,191,480,96,8,112,118,841,1,AS,paulch01,2009-2010
Ersan İlyasova,22,MIL,PF,81,31,1898,323,729,0.443,81,241,0.336,242,488,0.496,0.499,113,158,0.715,157,360,517,84,53,23,71,251,840,0,,ilyaser01,2009-2010
Hedo Türkoğlu,30,TOR,SF,74,69,2272,276,674,0.409,108,289,0.374,168,385,0.436,0.490,175,226,0.774,42,301,343,304,55,32,125,220,835,0,,turkohe01,2009-2010
Ryan Gomes,27,MIN,SF,76,64,2210,327,732,0.447,74,199,0.372,253,533,0.475,0.497,104,126,0.825,76,272,348,124,62,16,95,155,832,0,,gomesry01,2009-2010
Richard Hamilton,31,DET,SG,46,46,1552,293,717,0.409,41,138,0.297,252,579,0.435,0.437,204,241,0.846,30,92,122,202,30,3,115,115,831,0,,hamilri01,2009-2010
Carlos Delfino,27,MIL,SF,75,66,2279,299,732,0.408,134,365,0.367,165,367,0.450,0.500,93,119,0.782,51,343,394,202,80,21,119,138,825,0,,delfica01,2009-2010
Jason Kidd,36,DAL,PG,80,80,2881,284,671,0.423,176,414,0.425,108,257,0.420,0.554,80,99,0.808,48,397,445,724,145,35,195,142,824,2,AS,kiddja01,2009-2010
Marvin Williams,23,ATL,SF,81,81,2468,302,664,0.455,40,132,0.303,262,532,0.492,0.485,176,215,0.819,106,310,416,93,66,46,72,160,820,0,,willima02,2009-2010
Jameer Nelson,27,ORL,PG,65,64,1860,317,706,0.449,86,226,0.381,231,480,0.481,0.510,98,116,0.845,26,168,194,353,48,2,139,147,818,0,,nelsoja01,2009-2010
Kirk Hinrich,29,CHI,SG,74,53,2481,308,753,0.409,104,280,0.371,204,473,0.431,0.478,85,113,0.752,24,236,260,330,85,24,113,204,805,0,,hinriki01,2009-2010
Al Thornton,26,2TM,SF,75,46,2079,320,676,0.473,11,31,0.355,309,645,0.479,0.482,153,211,0.725,116,178,294,90,45,35,102,206,804,0,,thornal01,2009-2010
Al Thornton,26,LAC,SF,51,30,1405,220,460,0.478,5,14,0.357,215,446,0.482,0.484,103,139,0.741,85,107,192,61,25,22,66,144,548,0,,thornal01,2009-2010
Al Thornton,26,WAS,SF,24,16,674,100,216,0.463,6,17,0.353,94,199,0.472,0.477,50,72,0.694,31,71,102,29,20,13,36,62,256,0,,thornal01,2009-2010
Omri Casspi,21,SAC,SF,77,31,1931,300,672,0.446,75,203,0.369,225,469,0.480,0.502,117,174,0.672,75,274,349,95,54,17,98,125,792,0,,casspom01,2009-2010
Kendrick Perkins,25,BOS,C,78,78,2154,314,522,0.602,0,3,0.000,314,519,0.605,0.602,163,280,0.582,155,440,595,80,26,132,165,219,791,0,DPOY-17,perkike01,2009-2010
JJ Redick,25,ORL,SG,82,9,1808,243,553,0.439,111,274,0.405,132,279,0.473,0.540,191,222,0.860,17,138,155,158,28,4,63,118,788,0,,redicjj01,2009-2010
Peja Stojaković,32,NOH,SF,62,55,1947,278,688,0.404,132,352,0.375,146,336,0.435,0.500,96,107,0.897,39,188,227,92,48,5,56,83,784,0,,stojape01,2009-2010
Dahntay Jones,29,IND,SF,76,26,1892,287,623,0.461,4,32,0.125,283,591,0.479,0.464,198,257,0.770,48,181,229,150,40,39,129,237,776,0,,jonesda02,2009-2010
Brandon Rush,24,IND,SG,82,64,2491,297,702,0.423,124,302,0.411,173,400,0.433,0.511,56,89,0.629,41,305,346,112,56,65,93,159,774,0,,rushbr01,2009-2010
Udonis Haslem,29,MIA,PF,78,0,2177,312,632,0.494,0,0,,312,632,0.494,0.494,147,193,0.762,167,462,629,52,30,23,75,174,771,0,6MOY-9,hasleud01,2009-2010
Wesley Matthews,23,UTA,SG,82,48,2025,273,565,0.483,63,165,0.382,210,400,0.525,0.539,160,193,0.829,50,141,191,124,64,15,93,152,769,0,,matthwe02,2009-2010
