Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Kevin Durant,21,OKC,SF,82,82,3239,794,1668,0.476,128,351,0.365,666,1317,0.506,0.514,756,840,0.900,105,518,623,231,112,84,271,171,2472,0,MVP-2ASNBA1,duranke01,2009-2010
LeBron James,25,CLE,SF,76,76,2966,768,1528,0.503,129,387,0.333,639,1141,0.560,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258,4,MVP-1DPOY-4ASNBA1,jamesle01,2009-2010
Dwyane Wade,28,MIA,SG,77,77,2792,719,1511,0.476,73,243,0.300,646,1268,0.509,0.500,534,702,0.761,107,266,373,501,142,82,252,181,2045,0,MVP-5DPOY-10ASNBA1,wadedw01,2009-2010
Dirk Nowitzki,31,DAL,PF,81,80,3039,720,1496,0.481,51,121,0.421,669,1375,0.487,0.498,536,586,0.915,80,540,620,218,70,79,149,208,2027,1,MVP-7ASNBA2,nowitdi01,2009-2010
Kobe Bryant,31,LAL,SG,73,73,2835,716,1569,0.456,99,301,0.329,617,1268,0.487,0.488,439,541,0.811,78,313,391,365,113,20,233,187,1970,0,MVP-3DPOY-12ASNBA1,bryanko01,2009-2010
Carmelo Anthony,25,DEN,SF,69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.830,152,302,454,222,88,30,209,225,1943,0,MVP-6ASNBA2,anthoca01,2009-2010
Amar'e Stoudemire,27,PHO,PF,82,82,2838,704,1264,0.557,1,6,0.167,703,1258,0.559,0.557,487,632,0.771,230,502,732,82,52,83,213,281,1896,0,MVP-10ASNBA2,stoudam01,2009-2010
Zach Randolph,28,MEM,PF,81,81,3051,652,1336,0.488,15,52,0.288,637,1284,0.496,0.494,362,465,0.778,330,620,950,149,80,34,174,226,1681,0,AS,randoza01,2009-2010
Chris Bosh,25,TOR,C,70,70,2526,600,1158,0.518,8,22,0.364,592,1136,0.521,0.522,470,590,0.797,205,554,759,166,43,68,169,170,1678,0,MVP-12AS,boshch01,2009-2010
Stephen Jackson,31,2TM,SG,81,81,3129,600,1418,0.423,129,393,0.328,471,1025,0.460,0.469,338,434,0.779,78,323,401,300,132,43,259,197,1667,0,-MVP 12.00,jacksst02,2009-2010
