Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Raymond Felton,21,CHA,PG,80,54,2406,345,883,0.391,97,271,0.358,248,612,0.405,0.446,161,222,0.725,77,188,265,446,102,8,182,181,948,0,ROY-4,feltora01,2005-2006
Juwan Howard,32,HOU,PF,80,80,2537,394,859,0.459,0,4,0.000,394,855,0.461,0.459,154,191,0.806,168,367,535,112,49,8,133,235,942,0,,howarju01,2005-2006
Smush Parker,24,LAL,PG,82,82,2773,348,779,0.447,120,328,0.366,228,451,0.506,0.524,125,180,0.694,37,234,271,302,140,16,147,213,941,0,,parkesm01,2005-2006
Kyle Korver,24,PHI,SF,82,43,2563,327,761,0.430,184,438,0.420,143,323,0.443,0.551,101,119,0.849,27,243,270,163,65,26,98,224,939,0,,korveky01,2005-2006
Juan Dixon,27,POR,SG,76,42,1920,357,821,0.435,65,170,0.382,292,651,0.449,0.474,156,194,0.804,30,147,177,149,58,6,113,157,935,0,,dixonju01,2005-2006
Mike Dunleavy,25,GSW,SF,81,68,2578,331,816,0.406,74,260,0.285,257,556,0.462,0.451,196,252,0.778,78,321,399,237,60,32,120,199,932,0,,dunlemi02,2005-2006
Chris Kaman,23,LAC,C,78,78,2560,369,706,0.523,0,2,0.000,369,704,0.524,0.523,194,252,0.770,187,563,750,79,45,108,176,269,932,0,,kamanch01,2005-2006
Josh Howard,25,DAL,SF,59,58,1915,350,743,0.471,27,63,0.429,323,680,0.475,0.489,196,267,0.734,123,248,371,111,68,26,79,167,923,0,,howarjo01,2005-2006
Mark Blount,30,2TM,C,81,55,2240,373,734,0.508,0,0,,373,734,0.508,0.508,168,222,0.757,96,269,365,99,40,76,194,254,914,0,,blounma01,2005-2006
Mark Blount,30,BOS,C,39,25,1083,194,380,0.511,0,0,,194,380,0.511,0.511,97,127,0.764,36,126,162,66,15,36,120,107,485,0,,blounma01,2005-2006
Mark Blount,30,MIN,C,42,30,1157,179,354,0.506,0,0,,179,354,0.506,0.506,71,95,0.747,60,143,203,33,25,40,74,147,429,0,,blounma01,2005-2006
Zaza Pachulia,21,ATL,C,78,78,2452,307,681,0.451,0,2,0.000,307,679,0.452,0.451,297,404,0.735,264,349,613,129,89,39,180,286,911,0,,pachuza01,2005-2006
Luke Ridnour,24,SEA,PG,79,77,2625,334,799,0.418,43,149,0.289,291,650,0.448,0.445,199,227,0.877,47,188,235,550,123,22,162,178,910,0,,ridnolu01,2005-2006
Jameer Nelson,23,ORL,PG,62,33,1784,347,719,0.483,70,165,0.424,277,554,0.500,0.531,141,181,0.779,39,141,180,302,70,9,148,174,905,0,,nelsoja01,2005-2006
Josh Smith,20,ATL,SF,80,73,2559,329,774,0.425,34,110,0.309,295,664,0.444,0.447,210,292,0.719,176,355,531,191,64,208,162,260,902,0,,smithjo03,2005-2006
DeShawn Stevenson,24,ORL,SG,82,82,2648,359,781,0.460,2,15,0.133,357,766,0.466,0.461,180,242,0.744,59,182,241,160,58,17,123,178,900,0,,stevede01,2005-2006
Shareef Abdur-Rahim,29,SAC,PF,72,30,1961,332,632,0.525,5,22,0.227,327,610,0.536,0.529,218,278,0.784,106,251,357,149,48,42,108,227,887,0,6MOY-10,abdursh01,2005-2006
Jalen Rose,33,2TM,SG,72,45,1983,290,685,0.423,59,172,0.343,231,513,0.450,0.466,248,318,0.780,28,183,211,181,30,13,115,156,887,0,,roseja01,2005-2006
Jalen Rose,33,TOR,SF,46,22,1236,180,446,0.404,31,115,0.270,149,331,0.450,0.438,166,217,0.765,15,114,129,113,20,10,65,101,557,0,,roseja01,2005-2006
Jalen Rose,33,NYK,SG,26,23,747,110,239,0.460,28,57,0.491,82,182,0.451,0.519,82,101,0.812,13,69,82,68,10,3,50,55,330,0,,roseja01,2005-2006
Matt Harpring,29,UTA,SF,71,32,1944,322,678,0.475,14,39,0.359,308,639,0.482,0.485,227,313,0.725,158,210,368,98,59,14,109,202,885,0,6MOY-16,harprma01,2005-2006
Eddie Jones,34,MEM,SG,75,75,2437,292,722,0.404,133,374,0.356,159,348,0.457,0.497,168,215,0.781,35,244,279,177,131,27,93,201,885,0,DPOY-13,jonesed02,2005-2006
T.J. Ford,22,MIL,PG,72,70,2557,328,789,0.416,35,104,0.337,293,685,0.428,0.438,187,248,0.754,63,248,311,473,104,7,219,196,878,0,,fordtj01,2005-2006
Speedy Claxton,27,NOK,PG,71,3,2019,304,736,0.413,17,63,0.270,287,673,0.426,0.425,246,320,0.769,39,154,193,339,108,6,154,177,871,0,6MOY-2,claxtsp01,2005-2006
Brevin Knight,30,CHA,PG,69,67,2351,308,772,0.399,3,13,0.231,305,759,0.402,0.401,252,314,0.803,35,188,223,610,157,4,164,202,871,0,,knighbr01,2005-2006
Deron Williams,21,UTA,PG,80,47,2307,339,805,0.421,91,219,0.416,248,586,0.423,0.478,95,135,0.704,35,159,194,359,60,17,145,233,864,0,ROY-6,willide01,2005-2006
Ruben Patterson,30,2TM,SG,71,22,1792,327,635,0.515,1,13,0.077,326,622,0.524,0.516,203,338,0.601,118,126,244,127,76,21,150,150,858,0,,patteru01,2005-2006
Ruben Patterson,30,POR,SF,45,2,1056,188,379,0.496,0,7,0.000,188,372,0.505,0.496,138,226,0.611,73,81,154,60,42,12,82,79,514,0,,patteru01,2005-2006
Ruben Patterson,30,DEN,SG,26,20,736,139,256,0.543,1,6,0.167,138,250,0.552,0.545,65,112,0.580,45,45,90,67,34,9,68,71,344,0,,patteru01,2005-2006
Ronald Murray,26,2TM,SG,76,27,2112,321,768,0.418,37,141,0.262,284,627,0.453,0.442,172,242,0.711,33,120,153,197,68,11,135,133,851,0,,murraro01,2005-2006
Ronald Murray,26,SEA,SG,48,2,1085,179,451,0.397,17,76,0.224,162,375,0.432,0.416,99,138,0.717,18,68,86,120,30,4,79,69,474,0,,murraro01,2005-2006
Ronald Murray,26,CLE,SG,28,25,1027,142,317,0.448,20,65,0.308,122,252,0.484,0.479,73,104,0.702,15,52,67,77,38,7,56,64,377,0,,murraro01,2005-2006
Drew Gooden,24,CLE,PF,79,79,2174,334,652,0.512,1,3,0.333,333,649,0.513,0.513,176,258,0.682,237,428,665,56,52,49,106,190,845,0,,goodedr01,2005-2006
Gerald Wallace,23,CHA,SF,55,52,1895,317,589,0.538,14,50,0.280,303,539,0.562,0.550,188,306,0.614,123,289,412,96,138,115,99,150,836,0,DPOY-9,wallage01,2005-2006
Delonte West,22,BOS,PG,71,71,2418,333,684,0.487,84,218,0.385,249,466,0.534,0.548,86,101,0.851,57,232,289,329,84,46,133,197,836,0,,westde01,2005-2006
Shane Battier,27,MEM,SF,81,81,2839,303,621,0.488,65,165,0.394,238,456,0.522,0.540,147,208,0.707,164,265,429,136,92,114,90,223,818,0,DPOY-10,battish01,2005-2006
Bobby Jackson,32,MEM,PG,71,15,1775,286,748,0.382,129,332,0.389,157,416,0.377,0.469,107,146,0.733,44,179,223,195,61,1,101,155,808,0,6MOY-16,jacksbo01,2005-2006
Channing Frye,22,NYK,C,65,14,1572,305,640,0.477,3,9,0.333,302,631,0.479,0.479,189,229,0.825,138,236,374,53,30,47,97,200,802,0,ROY-56MOY-11,fryech01,2005-2006
Jumaine Jones,26,CHA,PF,76,42,2089,298,736,0.405,115,335,0.343,183,401,0.456,0.483,88,121,0.727,105,271,376,63,68,22,74,200,799,0,,jonesju01,2005-2006
Eddie House,27,PHO,PG,81,0,1421,320,759,0.422,123,316,0.389,197,443,0.445,0.503,33,41,0.805,15,117,132,148,42,12,76,96,796,0,6MOY-13,houseed01,2005-2006
Michael Finley,32,SAS,SG,77,18,2038,286,695,0.412,110,279,0.394,176,416,0.423,0.491,98,115,0.852,31,216,247,116,37,7,62,97,780,0,6MOY-9,finlemi01,2005-2006
Kevin Martin,22,SAC,SG,72,41,1913,262,546,0.480,66,179,0.369,196,367,0.534,0.540,188,222,0.847,58,203,261,97,55,9,81,138,778,0,,martike02,2005-2006
Andrew Bogut,21,MIL,PF,82,77,2348,323,606,0.533,0,3,0.000,323,603,0.536,0.533,122,194,0.629,189,384,573,192,49,68,125,259,768,0,ROY-3,bogutan01,2005-2006
Antonio Daniels,30,WAS,SG,80,17,2283,230,550,0.418,23,101,0.228,207,449,0.461,0.439,284,336,0.845,19,153,172,284,52,8,89,96,767,0,,daniean01,2005-2006
Rafer Alston,29,HOU,PG,63,63,2431,280,738,0.379,102,312,0.327,178,426,0.418,0.449,99,143,0.692,36,219,255,425,101,15,157,194,761,0,,alstora01,2005-2006
Udonis Haslem,25,MIA,PF,81,80,2491,300,591,0.508,0,2,0.000,300,589,0.509,0.508,157,199,0.789,167,467,634,95,50,17,80,216,757,0,,hasleud01,2005-2006
Desmond Mason,28,NOK,SF,70,55,2102,275,690,0.399,1,6,0.167,274,684,0.401,0.399,206,302,0.682,64,234,298,66,42,17,113,136,757,0,,masonde01,2005-2006
Earl Boykins,29,DEN,PG,60,0,1542,271,661,0.410,62,179,0.346,209,482,0.434,0.457,152,174,0.874,21,60,81,230,48,4,83,73,756,0,6MOY-5,boykiea01,2005-2006
Vladimir Radmanović,25,2TM,PF,77,27,1974,262,643,0.407,138,354,0.390,124,289,0.429,0.515,93,114,0.816,64,294,358,136,61,29,93,210,755,0,,radmavl01,2005-2006
Vladimir Radmanović,25,SEA,PF,47,16,1089,154,384,0.401,72,196,0.367,82,188,0.436,0.495,55,62,0.887,39,148,187,72,32,15,53,130,435,0,,radmavl01,2005-2006
Vladimir Radmanović,25,LAC,PF,30,11,885,108,259,0.417,66,158,0.418,42,101,0.416,0.544,38,52,0.731,25,146,171,64,29,14,40,80,320,0,,radmavl01,2005-2006
Jamaal Magloire,27,MIL,C,82,82,2465,287,615,0.467,0,0,,287,615,0.467,0.467,178,333,0.535,220,558,778,56,29,80,166,276,752,0,,magloja01,2005-2006
Donyell Marshall,32,CLE,PF,81,0,2077,265,671,0.395,128,395,0.324,137,276,0.496,0.490,92,123,0.748,105,387,492,60,59,41,90,160,750,0,,marshdo01,2005-2006
Kenny Thomas,28,SAC,PF,82,55,2293,305,604,0.505,0,1,0.000,305,603,0.506,0.505,138,204,0.676,199,419,618,168,72,39,135,196,748,1,,thomake01,2005-2006
