Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,Year
Kobe Bryant,27,LAL,SG,80,80,3277,978,2173,0.450,180,518,0.347,798,1655,0.482,0.491,696,819,0.850,71,354,425,360,147,30,250,233,2832,0,MVP-4ASNBA1,bryanko01,2005-2006
LeBron James,21,CLE,SF,79,79,3361,875,1823,0.480,127,379,0.335,748,1444,0.518,0.515,601,814,0.738,75,481,556,521,123,66,260,181,2478,5,MVP-2ASNBA1,jamesle01,2005-2006
Allen Iverson,30,PHI,PG,72,72,3103,815,1822,0.447,72,223,0.323,743,1599,0.465,0.467,675,829,0.814,44,188,232,532,140,10,248,121,2377,0,MVP-10ASNBA3,iversal01,2005-2006
Gilbert Arenas,24,WAS,PG,80,80,3384,746,1668,0.447,199,540,0.369,547,1128,0.485,0.507,655,799,0.820,59,221,280,484,161,25,297,286,2346,0,ASNBA3,arenagi01,2005-2006
Dirk Nowitzki,27,DAL,PF,81,81,3089,751,1564,0.480,110,271,0.406,641,1293,0.496,0.515,539,598,0.901,115,613,728,226,58,83,156,164,2151,0,MVP-3ASNBA1,nowitdi01,2005-2006
Carmelo Anthony,21,DEN,SF,80,80,2941,756,1572,0.481,37,152,0.243,719,1420,0.506,0.493,573,709,0.808,122,272,394,216,88,42,218,229,2122,0,NBA3,anthoca01,2005-2006
Paul Pierce,28,BOS,SF,79,79,3084,689,1462,0.471,111,314,0.354,578,1148,0.503,0.509,627,812,0.772,77,453,530,375,107,34,273,223,2116,1,AS,piercpa01,2005-2006
Dwyane Wade,24,MIA,SG,75,75,2892,699,1413,0.495,13,76,0.171,686,1337,0.513,0.499,629,803,0.783,107,323,430,503,146,58,268,217,2040,2,MVP-6ASNBA2,wadedw01,2005-2006
Michael Redd,26,MIL,SG,80,80,3130,682,1516,0.450,163,413,0.395,519,1103,0.471,0.504,501,571,0.877,78,264,342,229,95,5,170,157,2028,0,,reddmi01,2005-2006
Ray Allen,30,SEA,SG,78,78,3022,681,1500,0.454,269,653,0.412,412,847,0.486,0.544,324,359,0.903,71,261,332,286,105,16,188,151,1955,0,AS,allenra02,2005-2006
Elton Brand,26,LAC,PF,79,79,3099,756,1435,0.527,1,3,0.333,755,1432,0.527,0.527,440,568,0.775,236,554,790,208,81,201,173,227,1953,0,MVP-7DPOY-10ASNBA2,brandel01,2005-2006
Vince Carter,29,NJN,SG,79,79,2906,653,1518,0.430,125,367,0.341,528,1151,0.459,0.471,480,601,0.799,135,327,462,338,94,53,213,235,1911,1,AS,cartevi01,2005-2006
Shawn Marion,27,PHO,PF,81,81,3263,716,1365,0.525,96,290,0.331,620,1075,0.577,0.560,241,298,0.809,249,710,959,143,160,137,125,223,1769,0,MVP-10DPOY-7ASNBA3,mariosh01,2005-2006
Jason Richardson,25,GSW,SG,75,75,2877,641,1438,0.446,183,477,0.384,458,961,0.477,0.509,276,410,0.673,105,333,438,232,97,37,167,206,1741,0,,richaja01,2005-2006
Mike Bibby,27,SAC,PG,82,82,3167,597,1382,0.432,192,497,0.386,405,885,0.458,0.501,342,403,0.849,29,211,240,444,82,10,199,169,1728,0,,bibbymi01,2005-2006
Antawn Jamison,29,WAS,SF,82,80,3288,660,1494,0.442,147,373,0.394,513,1121,0.458,0.491,217,297,0.731,167,598,765,158,90,12,137,189,1684,0,,jamisan01,2005-2006
Kevin Garnett,29,MIN,PF,76,76,2957,626,1191,0.526,8,30,0.267,618,1161,0.532,0.529,396,489,0.810,214,752,966,308,104,107,180,206,1656,0,DPOY-13AS,garneke01,2005-2006
Joe Johnson,24,ATL,SG,82,82,3340,632,1395,0.453,128,360,0.356,504,1035,0.487,0.499,261,330,0.791,98,237,335,536,103,31,267,187,1653,1,,johnsjo02,2005-2006
Pau Gasol,25,MEM,PF,80,80,3135,600,1194,0.503,3,12,0.250,597,1182,0.505,0.504,425,617,0.689,191,522,713,371,46,153,235,184,1628,1,AS,gasolpa01,2005-2006
Richard Hamilton,27,DET,SG,80,80,2825,649,1322,0.491,55,120,0.458,594,1202,0.494,0.512,256,303,0.845,84,172,256,275,52,16,173,207,1609,0,AS,hamilri01,2005-2006
Mike James,30,TOR,PG,79,79,2925,576,1228,0.469,169,382,0.442,407,846,0.481,0.538,283,338,0.837,45,217,262,460,72,3,206,214,1604,0,,jamesmi01,2005-2006
Chris Bosh,21,TOR,C,70,70,2751,549,1087,0.505,0,13,0.000,549,1074,0.511,0.505,474,581,0.816,204,443,647,181,50,79,157,209,1572,0,AS,boshch01,2005-2006
Rashard Lewis,26,SEA,SF,78,77,2876,538,1151,0.467,142,370,0.384,396,781,0.507,0.529,350,428,0.818,111,279,390,182,102,50,141,191,1568,0,,lewisra02,2005-2006
Richard Jefferson,25,NJN,SF,78,78,3059,495,1005,0.493,60,188,0.319,435,817,0.532,0.522,471,580,0.812,95,439,534,297,59,17,174,193,1521,0,,jefferi01,2005-2006
Chris Webber,32,PHI,PF,75,75,2893,617,1422,0.434,21,77,0.273,596,1345,0.443,0.441,263,348,0.756,184,557,741,256,103,62,182,219,1518,0,,webbech01,2005-2006
Ricky Davis,26,2TM,SG,78,78,3207,584,1304,0.448,73,242,0.302,511,1062,0.481,0.476,275,345,0.797,65,286,351,394,91,17,213,190,1516,0,,davisri01,2005-2006
Ricky Davis,26,BOS,SG,42,42,1747,329,709,0.464,40,125,0.320,289,584,0.495,0.492,129,164,0.787,40,147,187,221,49,9,115,91,827,0,,davisri01,2005-2006
Ricky Davis,26,MIN,SF,36,36,1460,255,595,0.429,33,117,0.282,222,478,0.464,0.456,146,181,0.807,25,139,164,173,42,8,98,99,689,0,,davisri01,2005-2006
Tony Parker,23,SAS,PG,80,80,2715,623,1136,0.548,11,36,0.306,612,1100,0.556,0.553,253,358,0.707,38,223,261,460,83,4,249,161,1510,0,MVP-9AS,parketo01,2005-2006
Chauncey Billups,29,DET,PG,81,81,2925,423,1012,0.418,184,425,0.433,239,587,0.407,0.509,465,520,0.894,41,211,252,699,71,8,170,160,1495,0,MVP-5ASNBA2,billuch01,2005-2006
Steve Nash,31,PHO,PG,79,79,2796,541,1056,0.512,150,342,0.439,391,714,0.548,0.583,257,279,0.921,47,286,333,826,61,12,276,120,1489,1,MVP-1ASNBA1,nashst01,2005-2006
Tim Duncan,29,SAS,PF,80,80,2784,574,1185,0.484,2,5,0.400,572,1180,0.485,0.485,335,533,0.629,231,650,881,253,70,162,198,219,1485,0,MVP-8DPOY-6ASNBA2,duncati01,2005-2006
Mehmet Okur,26,UTA,PF,82,82,2945,519,1128,0.460,80,234,0.342,439,894,0.491,0.496,354,454,0.780,211,535,746,194,40,73,163,285,1472,0,,okurme01,2005-2006
Al Harrington,25,ATL,PF,76,76,2782,551,1220,0.452,66,191,0.346,485,1029,0.471,0.479,243,350,0.694,132,391,523,238,85,14,195,301,1411,0,,harrial01,2005-2006
Morris Peterson,28,TOR,SG,82,77,3140,478,1096,0.436,177,448,0.395,301,648,0.465,0.517,241,294,0.820,65,316,381,190,104,15,126,223,1374,0,,petermo01,2005-2006
Jason Terry,28,DAL,PG,80,80,2798,516,1099,0.470,171,416,0.411,345,683,0.505,0.547,168,210,0.800,31,127,158,306,100,27,135,196,1371,0,,terryja01,2005-2006
Wally Szczerbiak,28,2TM,SF,72,71,2729,493,1012,0.487,102,255,0.400,391,757,0.517,0.538,278,310,0.897,77,236,313,213,40,19,136,150,1366,0,,szczewa02,2005-2006
Wally Szczerbiak,28,MIN,SF,40,40,1555,292,590,0.495,58,143,0.406,234,447,0.523,0.544,163,182,0.896,36,154,190,112,21,15,86,90,805,0,,szczewa02,2005-2006
Wally Szczerbiak,28,BOS,SF,32,31,1174,201,422,0.476,44,112,0.393,157,310,0.506,0.528,115,128,0.898,41,82,123,101,19,4,50,60,561,0,,szczewa02,2005-2006
Ben Gordon,22,CHI,SG,80,47,2482,486,1152,0.422,166,382,0.435,320,770,0.416,0.494,211,268,0.787,43,176,219,240,75,5,180,238,1349,0,,gordobe01,2005-2006
Sam Cassell,36,LAC,PG,78,75,2653,493,1112,0.443,70,190,0.368,423,922,0.459,0.475,289,335,0.863,40,247,287,491,74,11,175,225,1345,0,,cassesa01,2005-2006
Zach Randolph,24,POR,PF,74,71,2545,536,1229,0.436,16,55,0.291,520,1174,0.443,0.443,245,343,0.714,193,399,592,144,57,14,165,185,1333,0,,randoza01,2005-2006
Stephen Jackson,27,IND,SG,81,81,2910,472,1148,0.411,117,339,0.345,355,809,0.439,0.462,268,341,0.786,48,264,312,225,104,43,203,195,1329,0,,jacksst02,2005-2006
Caron Butler,25,WAS,SF,75,54,2708,494,1086,0.455,41,120,0.342,453,966,0.469,0.474,289,332,0.870,114,352,466,186,127,18,175,238,1318,0,,butleca01,2005-2006
Dwight Howard,20,ORL,PF,82,81,3021,468,881,0.531,0,2,0.000,468,879,0.532,0.531,356,598,0.595,288,734,1022,125,65,115,217,277,1292,0,,howardw01,2005-2006
Peja Stojaković,28,2TM,SF,71,71,2601,445,1018,0.437,162,404,0.401,283,614,0.461,0.517,238,260,0.915,79,336,415,136,45,10,103,171,1290,0,,stojape01,2005-2006
Peja Stojaković,28,SAC,SF,31,31,1147,171,424,0.403,71,179,0.397,100,245,0.408,0.487,98,105,0.933,34,131,165,68,19,2,51,82,511,0,,stojape01,2005-2006
Peja Stojaković,28,IND,SF,40,40,1454,274,594,0.461,91,225,0.404,183,369,0.496,0.538,140,155,0.903,45,205,250,68,26,8,52,89,779,0,,stojape01,2005-2006
Kirk Hinrich,25,CHI,PG,81,81,2955,451,1078,0.418,126,341,0.370,325,737,0.441,0.477,256,314,0.815,29,259,288,514,94,21,188,251,1284,0,,hinriki01,2005-2006
Yao Ming,25,HOU,C,57,57,1949,467,900,0.519,0,1,0.000,467,899,0.519,0.519,337,395,0.853,148,433,581,85,30,94,147,195,1271,0,ASNBA3,mingya01,2005-2006
David West,25,NOK,PF,74,74,2526,530,1036,0.512,3,11,0.273,527,1025,0.514,0.513,199,236,0.843,168,380,548,92,61,64,105,214,1262,0,,westda01,2005-2006
Chris Paul,20,NOK,PG,78,78,2808,407,947,0.430,50,177,0.282,357,770,0.464,0.456,394,465,0.847,61,339,400,611,175,6,183,218,1258,2,ROY-1,paulch01,2005-2006
Zydrunas Ilgauskas,30,CLE,C,78,78,2283,450,889,0.506,0,5,0.000,450,884,0.509,0.506,317,380,0.834,245,346,591,91,38,136,155,280,1217,0,,ilgauzy01,2005-2006
Rasheed Wallace,31,DET,PF,80,80,2780,459,1067,0.430,155,434,0.357,304,633,0.480,0.503,136,183,0.743,90,457,547,182,82,130,85,232,1209,0,DPOY-13AS,wallara01,2005-2006
Lamar Odom,26,LAL,PF,80,80,3221,445,925,0.481,80,215,0.372,365,710,0.514,0.524,216,313,0.690,181,557,738,443,75,64,213,256,1186,2,,odomla01,2005-2006
Brad Miller,29,SAC,C,79,79,2923,434,877,0.495,34,88,0.386,400,789,0.507,0.514,280,338,0.828,122,493,615,374,61,62,180,234,1182,0,,millebr01,2005-2006
Shaquille O'Neal,33,MIA,C,59,58,1806,480,800,0.600,0,0,,480,800,0.600,0.600,221,471,0.469,172,369,541,113,23,104,168,230,1181,1,ASNBA1,onealsh01,2005-2006
Cuttino Mobley,30,LAC,SG,79,74,2979,429,1008,0.426,83,245,0.339,346,763,0.453,0.467,229,273,0.839,50,291,341,238,93,36,145,208,1170,0,,moblecu01,2005-2006
Hedo Türkoğlu,26,ORL,SF,78,59,2615,398,877,0.454,114,283,0.403,284,594,0.478,0.519,255,296,0.861,70,263,333,216,70,21,130,234,1165,0,,turkohe01,2005-2006
Raja Bell,29,PHO,SG,79,79,2959,425,930,0.457,197,446,0.442,228,484,0.471,0.563,115,146,0.788,44,209,253,207,76,22,89,248,1162,0,DPOY-13,bellra01,2005-2006
Tayshaun Prince,25,DET,SF,82,82,2898,455,999,0.455,64,183,0.350,391,816,0.479,0.487,182,238,0.765,104,242,346,186,62,39,91,96,1156,0,DPOY-13,princta01,2005-2006
Tracy McGrady,26,HOU,SF,47,47,1745,410,1011,0.406,73,234,0.312,337,777,0.434,0.442,254,340,0.747,46,261,307,225,59,41,120,88,1147,0,AS,mcgratr01,2005-2006
Jamal Crawford,25,NYK,SG,79,27,2555,366,879,0.416,101,293,0.345,265,586,0.452,0.474,295,357,0.826,36,212,248,301,87,15,175,150,1128,0,6MOY-14,crawfja01,2005-2006
Andre Miller,29,DEN,PG,82,82,2937,404,872,0.463,5,27,0.185,399,845,0.472,0.466,313,424,0.738,92,259,351,674,106,18,256,213,1126,0,,millean02,2005-2006
Luol Deng,20,CHI,SF,78,56,2604,442,954,0.463,21,78,0.269,421,876,0.481,0.474,207,276,0.750,127,389,516,147,72,50,105,128,1112,0,,denglu01,2005-2006
Derek Fisher,31,GSW,PG,82,36,2589,364,887,0.410,117,295,0.397,247,592,0.417,0.476,244,293,0.833,36,175,211,352,125,8,156,237,1089,0,6MOY-16,fishede01,2005-2006
Boris Diaw,23,PHO,PF,81,70,2874,449,853,0.526,8,30,0.267,441,823,0.536,0.531,174,238,0.731,159,399,558,503,58,85,189,260,1080,4,MIP-1,diawbo01,2005-2006
Nenad Krstić,22,NJN,PF,80,80,2469,447,881,0.507,1,4,0.250,446,877,0.509,0.508,185,265,0.698,182,331,513,88,32,63,133,297,1080,0,,krstine01,2005-2006
Jason Kidd,32,NJN,PG,80,80,2975,366,905,0.404,139,395,0.352,227,510,0.445,0.481,194,244,0.795,86,494,580,672,150,29,192,157,1065,8,,kiddja01,2005-2006
Andrés Nocioni,26,CHI,PF,82,43,2239,383,831,0.461,93,238,0.391,290,593,0.489,0.517,204,242,0.843,89,411,500,117,40,52,120,252,1063,0,DPOY-13,nocioan01,2005-2006
Andrei Kirilenko,24,UTA,SF,69,63,2604,336,730,0.460,36,117,0.308,300,613,0.489,0.485,346,495,0.699,161,391,552,299,102,220,203,162,1054,2,DPOY-3,kirilan01,2005-2006
Charlie Villanueva,21,TOR,PF,81,36,2361,435,940,0.463,70,214,0.327,365,726,0.503,0.500,113,160,0.706,181,340,521,88,60,63,99,247,1053,0,ROY-26MOY-20,villach01,2005-2006
Troy Murphy,25,GSW,PF,74,74,2516,363,838,0.433,58,181,0.320,305,657,0.464,0.468,251,319,0.787,195,548,743,101,47,26,108,191,1035,0,,murphtr01,2005-2006
Jermaine O'Neal,27,IND,PF,51,47,1802,380,805,0.472,3,10,0.300,377,795,0.474,0.474,261,368,0.709,102,374,476,133,27,117,151,177,1024,0,AS,onealje01,2005-2006
Mike Miller,25,MEM,SG,74,9,2268,354,760,0.466,138,339,0.407,216,421,0.513,0.557,168,210,0.800,42,355,397,200,52,27,140,173,1014,1,6MOY-1,millemi01,2005-2006
Andre Iguodala,22,PHI,SF,82,82,3086,344,688,0.500,56,158,0.354,288,530,0.543,0.541,263,349,0.754,117,364,481,255,135,21,153,198,1007,0,DPOY-12,iguodan01,2005-2006
Steve Francis,28,2TM,SG,70,60,2393,333,765,0.435,25,83,0.301,308,682,0.452,0.452,314,399,0.787,74,216,290,345,74,17,214,204,1005,1,,francst01,2005-2006
Steve Francis,28,ORL,PG,46,45,1734,249,575,0.433,18,70,0.257,231,505,0.457,0.449,231,290,0.797,60,159,219,262,51,11,156,142,747,1,,francst01,2005-2006
Steve Francis,28,NYK,SG,24,15,659,84,190,0.442,7,13,0.538,77,177,0.435,0.461,83,109,0.761,14,57,71,83,23,6,58,62,258,0,,francst01,2005-2006
Bobby Simmons,25,MIL,SF,75,74,2538,366,808,0.453,105,250,0.420,261,558,0.468,0.518,165,200,0.825,91,242,333,172,86,21,123,254,1002,0,,simmobo01,2005-2006
Antoine Walker,29,MIA,PF,82,19,2199,391,898,0.435,137,383,0.358,254,515,0.493,0.512,81,129,0.628,103,318,421,166,47,30,150,187,1000,0,6MOY-11,walkean02,2005-2006
Metta World Peace,26,2TM,SF,56,56,2207,350,867,0.404,78,253,0.308,272,614,0.443,0.449,206,305,0.675,75,211,286,203,122,41,131,164,984,0,DPOY-4,artesro01,2005-2006
Metta World Peace,26,IND,SF,16,16,603,109,237,0.460,18,54,0.333,91,183,0.497,0.498,74,121,0.612,26,52,78,35,42,11,43,45,310,0,,artesro01,2005-2006
Metta World Peace,26,SAC,SF,40,40,1604,241,630,0.383,60,199,0.302,181,431,0.420,0.430,132,184,0.717,49,159,208,168,80,30,88,119,674,0,,artesro01,2005-2006
Primož Brezec,26,CHA,C,79,79,2165,409,791,0.517,0,2,0.000,409,789,0.518,0.517,164,224,0.732,181,259,440,45,19,32,85,227,982,0,,brezepr01,2005-2006
Manu Ginóbili,28,SAS,SG,65,56,1813,309,669,0.462,83,217,0.382,226,452,0.500,0.524,280,360,0.778,42,188,230,235,101,26,121,156,981,0,,ginobma01,2005-2006
Eddy Curry,23,NYK,C,72,69,1865,336,597,0.563,0,0,,336,597,0.563,0.563,307,486,0.632,145,287,432,19,28,56,179,239,979,0,,curryed01,2005-2006
Stephon Marbury,28,NYK,PG,60,60,2193,349,774,0.451,33,104,0.317,316,670,0.472,0.472,246,326,0.755,25,150,175,382,63,4,157,143,977,0,,marbust01,2005-2006
Baron Davis,26,GSW,PG,54,48,1971,335,861,0.389,102,324,0.315,233,537,0.434,0.448,195,289,0.675,45,191,236,480,89,14,159,165,967,1,,davisba01,2005-2006
